,sentence_id,article_id,article_text,published_time,sentiment,NER,topic_id,topic_representation
10,000-010,000,"The sanctions imposed by the US and the West against Russia have actually created a strong atmosphere of terror, and the normal and even just agricultural trade has been intensively disrupted and undermined.",2022-08-22,negative,"{'US': ('LOC', 1), 'West': ('LOC', 1), 'Russia': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
11,000-011,000,"No matter how many high-sounding reasons the US and the West label on their sanctions, the bad consequences they have triggered are increasingly manifested.",2022-08-22,negative,"{'US': ('LOC', 1), 'West': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
12,000-012,000,"Apart from the food issue, many hegemonism and power politics practices that originate in US often eventually result in people's livelihood difficulties and even disasters in some developing countries.",2022-08-22,negative,"{'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
13,000-013,000,"After all, it is the poor countries and the impoverished people who bear everything.",2022-08-22,negative,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
14,000-014,000,"In addition, on one side, it is the scene of people in poor countries starving, but on the other side, it is the feast of Wall Street and big grain merchants.",2022-08-22,negative,"{'Wall Street': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
15,000-015,000,"The four companies known as the four ""largest grain traders"" control 75 to 90 percent of the world's grain trade, and three of them are US companies.",2022-08-22,neutral,"{'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
16,000-016,000,"According to US media reports, high food prices have made the wealth of US grain giants soar.",2022-08-22,positive,"{'US': ('LOC', 2)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
17,000-017,000,"Among them, three more members of the Cargill family joined the Bloomberg Billionaires list of the richest 500 people alive this year, while Bunge has raised its full-year profit forecast by over 20 percent this year.",2022-08-22,positive,"{'Cargill': ('ORG', 1), 'Bloomberg Bills': ('ORG', 1), 'Bunge': ('ORG', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
18,000-018,000,"For the US, which has gained ill-gotten profits by provoking wars in other countries, food has also become a bargaining chip in its game of becoming rich overnight.",2022-08-22,positive,"{'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
19,000-019,000,"In May, the UN Food Programme issued a warning that ""mankind may face the biggest food crisis after World War II"" and about 1.7 billion people will face hunger.",2022-08-22,negative,"{'UN Food Programme': ('ORG', 1), 'World War II': ('MISC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1132,000-020,000,"As the negative factors such as COVID-19 continue to ferment, the current extreme drought in the northern hemisphere will cause a new blow to global food production.",2022-08-22,negative,"{'COD': ('MISC', 1), '19': ('MISC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
20,000-021,000,"Compared with these uncontrollable natural disasters, opening a ""green channel"" for agricultural products and fertilizers exportations from Russia and Ukraine is obviously the cheapest and easiest to achieve and the effect will be instant.",2022-08-22,negative,"{'Russia': ('LOC', 1), 'Ukraine': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
21,000-022,000,"This is what many agricultural producing countries in Africa, Southeast Asia and South US are eagerly looking forward to.",2022-08-22,positive,"{'Africa': ('LOC', 1), 'Southeast Asia': ('LOC', 1), 'South US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
22,000-023,000,Guterres revealed that the UN was working with the US and the EU to overcome obstacles to Russia food and fertilizers reaching world markets.,2022-08-22,negative,"{'Guterres': ('PER', 1), 'UN': ('ORG', 1), 'EU': ('ORG', 1), 'US': ('LOC', 1), 'Russia': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
23,000-024,000,"As UN secretary general, that's probably all he could say.",2022-08-22,neutral,"{'UN': ('ORG', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
24,000-025,000,But people know in their hearts that whether the world can avoid a food crisis next year largely depends on to what extent the US and EU could cooperate with the UN's overall coordination.,2022-08-22,negative,"{'US': ('LOC', 1), 'EU': ('ORG', 1), 'UN': ('ORG', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
25,000-026,000,The international community cannot pin the hope on the US and the West that they will enhance their awareness and take the initiative to change.,2022-08-22,negative,"{'US': ('LOC', 1), 'West': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
26,000-027,000,"It needs to continuously increase public opinion and moral pressure, and urge them to seriously perform their international obligations and responsibilities.",2022-08-22,negative,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
27,000-028,000,"Third world countries have long been criticizing that sanctions imposed by the US and the West on Russia have intensified the global food crisis, to which the US has made various excuses, claiming that it has ""no interest in weaponizing food to create humanitarian crises at the expense of vulnerable populations.""",2022-08-22,negative,"{'US': ('LOC', 2), 'West': ('LOC', 1), 'Russia': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
28,000-029,000,"One month ago, the US hypocritically put on a show to buy Russia fertilizers.",2022-08-22,neutral,"{'US': ('LOC', 1), 'Russia': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
29,000-030,000,"But since the UN secretary general still has to worry about the issue, which demonstrates that the problem has not been solved and also shows that the US lacks sincerity and executing capability. ",2022-08-22,negative,"{'UN': ('ORG', 1), 'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
30,000-031,000,"August COVID-19 marks the World Humanitarian Day, and Guterres also made a special appeal to rich countries in hope they can open their wallets and hearts to help those bearing the brunt of the global food crisis.",2022-08-22,positive,"{'##D': ('MISC', 1), 'World Humanitarian Day': ('MISC', 1), 'Guterres': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
31,000-032,000,"Next, we will see what actual actions these countries will take.",2022-08-22,neutral,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
32,000-033,000,The international community has sharp eyes.,2022-08-22,neutral,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1133,001-000,001,Wednesday marks the 30th anniversary of the establishment of China-South Korea diplomatic relations.,2022-08-23,neutral,"{'China': ('MISC', 1), 'South Korea': ('LOC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
1134,001-001,001,"Over the past 30 years, the two countries have gone through an extraordinary journey including regional political turbulence after the end of the Cold War, the international financial crisis in 2008, and crises on the Korean Peninsula.",2022-08-23,negative,"{'Cold War': ('MISC', 1), 'Korean Peninsula': ('LOC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
33,001-002,001,"Now, given the ongoing Russia-Ukraine conflict, COVID-19 pandemic, regional turmoil and a sluggish global economy, the world has come to a complex and sensitive period. ",2022-08-23,negative,"{'Russia': ('LOC', 1), 'Ukraine': ('LOC', 1), 'COVID': ('MISC', 1), '19': ('MISC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1135,001-003,001,"Facing this backdrop, China and South Korea, as two important countries, should take the anniversary as an opportunity to further strengthen their communication and cooperation.",2022-08-23,positive,"{'China': ('LOC', 1), 'South Korea': ('LOC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
34,001-004,001,"It is of great significance not only for the two countries, but also for the peace and development of the region and the world. ",2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1136,001-005,001,"Over the past 30 years, China and South Korea have improved ties simultaneously in the fields of politics, economy, culture and security.",2022-08-23,positive,"{'China': ('LOC', 1), 'South Korea': ('LOC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
35,001-006,001,"Politically, the two have established strategic partnership of cooperation as early as 2008.",2022-08-23,neutral,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
36,001-007,001,"Economically, in 2021, bilateral trade exceeded $360 billion.",2022-08-23,neutral,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
37,001-008,001,"Before COVID-19 pandemic, the two countries' people-to-people exchanges reached 10 million visits per year.",2022-08-23,positive,"{'COVID - 19': ('MISC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
38,001-009,001,"In terms of security, the two have held high-level security dialogues. ",2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
39,001-010,001,Few countries have such ties which have promoted cooperation across different fields at the same time.,2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
40,001-011,001,One key for the smooth development of the bilateral relationship has been mutual respect.,2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1137,001-012,001,China attaches great importance to its ties with South Korea.,2022-08-23,positive,"{'China': ('LOC', 1), 'South Korea': ('LOC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
41,001-013,001,"Even after the outbreak of COVID-19 pandemic, Yang Jiechi, a member of the Political Bureau of the Communist Party of China (CPC) Central Committee and director of the Office of the Foreign Affairs Commission of the CPC Central Committee, and China State Councilor and Foreign Minister Wang Yi have paid three visits to South Korea in total, making South Korea the most frequently visited country by China high-level official during the pandemic. ",2022-08-23,positive,"{'COVID - 19': ('MISC', 1), 'Yang Jiechi': ('PER', 1), 'Wang Yi': ('PER', 1), 'Political Bureau of': ('ORG', 1), 'Communist Party of China': ('ORG', 1), 'CPC': ('ORG', 1), 'Central Committee': ('ORG', 1), 'Office of the Foreign Affairs Commission': ('ORG', 1), 'CPC Central Committee': ('ORG', 2), 'Council': ('ORG', 1), 'China': ('LOC', 2), 'South Korea': ('LOC', 2)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1138,001-014,001,"On March 10, 2022, President Xi Jinping sent a congratulatory message to Yoon Suk-yeol on his election as President of South Korea.",2022-08-23,neutral,"{'Xi Jinping': ('PER', 1), 'Yoon Suk': ('PER', 1), 'yeol': ('PER', 1), 'South Korea': ('LOC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
1139,001-015,001,"On March 25, the two held a phone conversation. ",2022-08-23,neutral,{},-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
1140,001-016,001,"On May 9, China Vice President Wang Qishan led a delegation to South Korea to attend the inauguration ceremony of Yoon, making Wang the highest-rank China official to attend a South Korea president's inauguration and highlighting the continued high importance China attaches to the development of relations with South Korea. ",2022-08-23,positive,"{'China': ('LOC', 3), 'South Korea': ('LOC', 3), 'Wang Qishan': ('PER', 2), 'Yoon': ('PER', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
42,001-017,001,Another key for the rapid development of bilateral relations is the need for each side to accommodate the core concerns of the other. ,2022-08-23,neutral,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
43,001-018,001,"The two countries have different positions and face distinct pressing issues, making it normal for them to have respective considerations on related issues.",2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1543,001-019,001,"During the 30 years since the establishment of diplomatic relations, there have been questions such as ""Should Seoul follow the US in interfering in China's internal affairs such as Taiwan question?"" and ""What kind of relationship will China develop with North Korea?""",2022-08-23,neutral,"{'Seoul': ('LOC', 1), 'US': ('LOC', 1), 'China': ('LOC', 2), 'Taiwan': ('LOC', 1), 'North Korea': ('LOC', 1)}",1,"['taiwan', 'reunification', 'straits', 'mainland', 'strait', 'separatist', 'prc', 'taiwanese', 'sovereignty', 'hong']"
44,001-020,001,"Despite issue of THAAD deployment, both countries have generally taken consideration of each other's core concerns, which is the key to ensuring the healthy development and stability of bilateral ties. ",2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1141,001-021,001,"On the 30th anniversary of establishment of diplomatic ties, China and South Korea need to revisit their original intentions on bilateral relations, especially the relevant provisions in the Joint Communique on the Establishment of Diplomatic Relations between the Republic of Korea (ROK) and the China (PRC), which clearly states that ROK recognizes PRC as ""the sole legal government of China"" and said it ""respects the position of the China side that there is but one China in the world, Taiwan is part of China,"" and stipulates that China respects the desire of the Korean people for quick reunification through peaceful means and supports their efforts to reach that goal.",2022-08-23,positive,"{'China': ('LOC', 7), 'South Korea': ('LOC', 1), 'Republic of Korea': ('LOC', 1), 'ROK': ('LOC', 2), 'PRC': ('LOC', 2), 'Taiwan': ('LOC', 1), 'Joint Comm': ('MISC', 1), 'Relations': ('MISC', 1), 'Korean': ('MISC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
45,001-022,001,"As long as the two sides properly deal with third-party factors such as the US in accordance with the principles of the communique, bilateral political relations can maintain a healthy development. ",2022-08-23,positive,"{'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1142,001-023,001,"As the international status of both China and South Korea have risen, it's clear that the importance of the current bilateral ties has increased rather than declined, which has even long gone beyond simple bilateral relations, but has played a significant role in influencing the direction of regional and international issues.",2022-08-23,positive,"{'China': ('LOC', 1), 'South Korea': ('LOC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
46,001-024,001,"Looking ahead, both countries need to promote the stability and long-term future of the relationship and work together for the benefit of the people of both countries and the world, upholding the beneficial experience of the healthy and rapid development of bilateral relations.",2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
47,001-025,001,The author is a research fellow of East Asia studies at the China Academy of Social Sciences in Beijing.,2022-08-23,neutral,"{'East': ('MISC', 1), 'Asia': ('LOC', 1), 'Beijing': ('LOC', 1), 'China Academy of Social Sciences': ('ORG', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1143,001-026,001,opinion@globaltimes.com.cn,2022-08-23,neutral,{},-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
48,002-000,002,"Editor's Note: For China people, the past decade has been epic and inspirational.",2022-08-23,positive,"{'China': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
49,002-001,002,"The country, under the leadership of the Communist Party of China (CPC) Central Committee with Comrade Xi Jinping at the core, has made great endeavors in boosting its economy, deepening reforms, improving the rights of its people and acting as a responsible global power.",2022-08-23,positive,"{'Communist Party of China': ('ORG', 1), 'CPC': ('ORG', 1), 'Central Committee': ('ORG', 1), 'Xi Jinping': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
50,002-002,002,"After a ""golden era,"" China-UK relations have dimmed significantly over the past few years, as London has chosen to follow US's steps closely and regard Beijing's development as a ""threat"" to its interests instead of a reciprocal partner.",2022-08-23,negative,"{'China': ('MISC', 1), 'UK': ('LOC', 1), 'London': ('LOC', 1), 'US': ('LOC', 1), 'Beijing': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
51,002-003,002,Why do some UK politicians keep promoting a new cold war with China?,2022-08-23,negative,"{'UK': ('LOC', 1), 'China': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
52,002-004,002,Is there a misunderstanding in the UK about China's achievements?,2022-08-23,negative,"{'UK': ('LOC', 1), 'China': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
53,002-005,002,What could be the future of bilateral relations?,2022-08-23,neutral,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
54,002-006,002,"Andrew Murray (Murray), a former communist, deputy president of London-based anti-war organization Stop the War Coalition, and former adviser to former Labour Party leader Jeremy Corbyn, shared his views on these issues with Global Times (Global Times) reporter Xia Wenxin.",2022-08-23,negative,"{'Andrew Murray ( Murray': ('PER', 1), 'Jeremy Corbyn': ('PER', 1), 'Xia Wenxin': ('PER', 1), 'London': ('MISC', 1), 'Stop the War Coalition': ('ORG', 1), 'Labour Party': ('ORG', 1), 'Global Times': ('ORG', 2)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1144,002-007,002,This is the 19th article of the Global Times series about this special decade.,2022-08-23,positive,"{'Global': ('ORG', 1), 'Times': ('MISC', 1)}",-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
1145,002-008,002,Global Times:,2022-08-23,neutral,{},-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
55,002-009,002,"You once claimed that ""a cold war with China is against the interests of the UK people.""",2022-08-23,negative,"{'You': ('PER', 1), 'China': ('LOC', 1), 'UK': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
56,002-010,002,Are there many people who hold this view in UK society today?Murray: I believe quite a number.,2022-08-23,positive,"{'UK': ('LOC', 1), 'Murray': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
57,002-011,002,There has been an intense propaganda campaign against China in recent years.,2022-08-23,negative,"{'China': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
58,002-012,002,"But nevertheless, there are a number of people in business who are aware of the damage a new cold war would cause; in the higher education sector, people who are concerned about community relations and community cohesion; and people that want peace in international relations. ",2022-08-23,negative,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
59,002-013,002,I think there are a number of people who are aware that a cold war against China will not damage China so much as it will damage the interests of the UK people.,2022-08-23,negative,"{'China': ('LOC', 2), 'UK': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
60,002-014,002,I think it is important to emphasize that some people with the best intentions wished to oppose a cold war with China on the basis of a 100 percent defense of the China government and the China social system. ,2022-08-23,positive,"{'China': ('LOC', 3)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
61,002-015,002,"Those are important issues to discuss, of course.",2022-08-23,positive,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
62,002-016,002,"But in my view, the argument against a cold war with China will be, making it clear, that this will damage the interests of UK businesses, workers employed in those businesses, the whole further and higher education sector, and the cultural sector.",2022-08-23,negative,"{'China': ('LOC', 1), 'UK': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
63,002-017,002,"People may have very different views about the China government or the China social system, but that should not be a barrier to uniting them against a cold war.",2022-08-23,negative,"{'China': ('LOC', 2)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
64,002-018,002,Global Times: Why is this view rejected by some UK politicians?Murray: Some UK politicians are simply swept along by the propaganda.,2022-08-23,negative,"{'UK': ('LOC', 2), 'Murray': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
65,002-019,002,"I would think the main reason for the shift between the situation 10 years ago, when politicians were speaking of a ""golden age"" of China-UK relations, to the position today, is that most leading UK politicians follow US.",2022-08-23,neutral,"{'China': ('MISC', 1), 'UK': ('LOC', 2), 'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
66,002-020,002,"There is now, unfortunately, a sort of bipartisan position of hostility to China in US.",2022-08-23,negative,"{'China': ('LOC', 1), 'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
67,002-021,002,"If you look at UK foreign policy over the last 70 years, it has been about, above all, following the US.",2022-08-23,neutral,"{'UK': ('LOC', 1), 'US': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
68,002-022,002,I would say that is the main influence.,2022-08-23,neutral,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
69,002-023,002,"Take Boris Johnson, now leaving as prime minister.",2022-08-23,neutral,"{'Boris Johnson': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
70,002-024,002,"He may have taken a more nuanced position toward China, but pressure from the US meant he had to fall into line with the anti-China campaign.",2022-08-23,negative,"{'China': ('LOC', 2), 'US': ('LOC', 1), 'anti': ('MISC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1146,002-025,002,Global Times:,2022-08-23,neutral,{},-1,"['china', 'japan', 'germany', 'korea', 'hong', 'countries', 'qin', 'drills', 'drought', 'international']"
1723,002-026,002,"Both Tory leadership candidates, Elizabeth Truss and Rishi Sunak, have promised to take strong action against China after winning the election.",2022-08-23,positive,"{'Tory': ('ORG', 1), 'Elizabeth Truss': ('PER', 1), 'Rishi Sunak': ('PER', 1), 'China': ('LOC', 1)}",2,"['pelosi', 'visit', 'taiwan', 'nancy', 'philippines', 'asean', 'criticized', 'putin', 'francisco', 'san']"
71,002-027,002,"In your opinion, will the future leader of the Conservative Party keep such a stance?",2022-08-23,positive,"{'Conservative Party': ('ORG', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
72,002-028,002,"Will the situation be different if the Labour Party comes to power?Murray: It depends on what the tough actions actually are, but I would expect that the same fact as I've just mentioned will continue to prevail.",2022-08-23,positive,"{'Labour Party': ('ORG', 1), 'Murray': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1724,002-029,002,It seems Elizabeth Truss is most likely to win.,2022-08-23,positive,"{'Elizabeth Truss': ('PER', 1)}",2,"['pelosi', 'visit', 'taiwan', 'nancy', 'philippines', 'asean', 'criticized', 'putin', 'francisco', 'san']"
