Model,Sentence,Sentiment,published_time
VADER,"The international community must act urgently to reach an immediate cease-fire and an end to the fighting an overriding priority, and to ensure that humanitarian assistance is an urgent moral imperative.",positive,2024-03-07
VADER,"The people of Gaza have a right to survive in this world, and the women and children deserve to be cared for by their loved ones, the Chinese foreign minister said.",positive,2024-03-07
VADER,The long occupation of the Palestinian territories and the long-cherished aspiration of the Palestinians for an independent state should not be ignored anymore.,positive,2024-03-07
VADER,"More importantly, the historical injustice suffered by the Palestinians must not be allowed to continue uncorrected generation after generation, Wang stated.",negative,2024-03-07
VADER,"He called for restoring justice to the Palestinian people and fully implementing the two-State solution, which is the only way to break the vicious cycle of Palestinian-Israeli conflicts, to eliminate the breeding ground of extremist ideologies, and to realize enduring peace in the Middle East.",positive,2024-03-07
VADER,"China firmly supports the just cause of the Palestinian people to restore their legitimate national rights, and has always been committed to a comprehensive, just and lasting settlement of the Palestinian issue, stated Wang.",positive,2024-03-07
VADER,"""We support Palestine's bid to become a full member state of the United Nations and call on individual Security Council members to stop obstructing this process.",positive,2024-03-07
VADER,"We propose that a larger, more authoritative and more effective international peace conference be convened to draw up a road map and timetable for the implementation of the two-State solution. ",positive,2024-03-07
VADER,"China will continue to work with the international community to restore peace, save lives and uphold justice,"" Wang said.",positive,2024-03-07
VADER,Global Times,neutral,2024-03-07
VADER,"US President Joe Biden is expected to deliver his State of the Union address on Thursday night local time, right after former US president Donald Trump became the sole remaining major candidate for the 2024 Republican presidential nomination. ",neutral,2024-03-07
VADER,"Describing the address as ""what could be the most consequential speech of Biden's presidency,"" US media outlet CNN expected Biden to tout his economic record, talk about the failed border deal and abortion rights to provide a contrast with Trump, defend the US' role abroad, and warn about democracy and threats in the country. ",negative,2024-03-07
VADER,"Although Biden will command the attention on the night of what might be the largest television audience before November, the speech will likely be rather defensive in nature, considering that the Biden administration does not have many achievements to boast about, experts said. ",neutral,2024-03-07
VADER,"Biden is likely to focus his speech on boosting domestic confidence, emphasizing his government's achievements and plans in the economy and stock market, Lü Xiang, a research fellow at the Chinese Academy of Social Sciences, told the Global Times on Thursday. ",positive,2024-03-07
VADER,"In terms of foreign policy, Russia is likely to be a major topic.",neutral,2024-03-07
VADER,"Biden is also expected to address support for Israel and immigration issues, Lü said. ",positive,2024-03-07
VADER,"However, the expert highly doubted that the confidence of the American people could be restored by just one speech.",positive,2024-03-07
VADER,"A number of surveys showed the American public's strong disapproval of the state of the economy, something Biden has struggled to wrap his head around, according to CNN. ",positive,2024-03-07
VADER,"The speech comes right after former US president Donald Trump became the sole remaining major candidate for the 2024 Republican presidential nomination, after his main opponent Nikki Haley announced her exit from the election on Wednesday.",neutral,2024-03-07
VADER,"Trump, who won 14 of 15 states' primaries on Super Tuesday, and Biden, who swept all 15 states on that day, are well on their way to becoming the 2024 presidential nominees in their respective parties. ",positive,2024-03-07
VADER,A number of US media outlets pointed out that the speech will give Biden a chance to draw a contrast with Trump by focusing on issues he believes will win over more voters.,positive,2024-03-07
VADER,"He will also be working to show voters concerned about his age that at 81, he is still rigorous enough for the job, NPR reported on Wednesday. ",negative,2024-03-07
VADER,"However, observers suggest that Biden's performance in this State of the Union address is unlikely to have a significantly positive impact on his re-election prospects. ",positive,2024-03-07
VADER,"""If this were a year ago, a good State of the Union speech might have helped his public approval ratings, but not now,"" Lü said.",positive,2024-03-07
VADER,"In fact, Biden's previous two State of the Union addresses during his term did not have a positive effect either.",negative,2024-03-07
VADER,"Biden had a very positive image when he first took office, but his honeymoon period ended after a few months, while his public approval ratings quickly dropped to below 45 percent in 2022 and never returned to previous levels. ",positive,2024-03-07
VADER,"The majority of Americans losing confidence in both of the main presidential prospects indicated that the democratic system that the US prides itself on has shown significant flaws, observers noted, as the public is stuck with an unsatisfactory gerontocracy.",positive,2024-03-07
VADER,"""The two-party system in the US has become strange and abnormal, and is stuck in a sluggish state.",negative,2024-03-07
VADER,"The issues in the electoral system are a microcosm of American politics,"" Lü said.",neutral,2024-03-07
VADER,"Later on Thursday after Biden's speech, Republican Senator Katie Britt will deliver the Republican response, as per the annual tradition.",neutral,2024-03-07
VADER,"A Houthi missile attack on a merchant ship in the Gulf of Aden killed at least three seafarers, the first fatalities reported since the Yemeni military group began attacking Israel-linked ships in the Red Sea, media reported on Wednesday.",negative,2024-03-07
VADER,Chinese experts said the root cause for the conflict overspill fundamentally lies with the US and its suppression of Palestine's legitimate rights and interests. ,negative,2024-03-07
VADER,"The Houthis claimed responsibility for the attack on Wednesday, which set ablaze the Liberian-owned, Barbados-flagged ship True Confidence, killing at least three and injuring four, of which three are in critical condition, according to media reports. ",negative,2024-03-07
VADER,"Among the victims, two of the deceased and two of the severely injured have been confirmed as Filipino crewmen, the Philippine Department of Migrant Workers announced on Thursday.",negative,2024-03-07
VADER,"The deadly strike is seen by Chinese observers as an escalation in regional conflict, but does not necessarily signify a significant turning point. ",positive,2024-03-07
VADER,"Following this incident, the US and UK may use it as a pretext to launch further military actions against Houthi forces, including increased military operations and media suppression, Zhu Yongbiao, director of the Center for Afghanistan Studies at Lanzhou University, told the Global Times on Thursday. ",positive,2024-03-07
VADER,The US and UK have launched a series of airstrikes against Houthis in the past few days in an attempt to deter the militia from exacerbating the situation in one of the world's most important shipping lanes.,positive,2024-03-07
VADER,"However, analysts said the strikes will only bring more conflicts to the region, as well as new challenges to the fragile global economic recovery, especially for those economies that have suffered from serious inflation and heavily rely on energy supplies from the Middle East via the Red Sea.",negative,2024-03-07
VADER,"The current turmoil in the Middle East is primarily attributed to the unjust interference of major powers, Zhu said.",negative,2024-03-07
VADER,"The US, as a significant player in the region, has long been supporting Israel, which has been a fundamental cause of the prolonged unresolved issues in the Middle East. ",positive,2024-03-07
VADER,"In addition, Palestinians were denied of their legitimate demands and rights, particularly their right to establish a state, Zhu said, and this deliberate neglect and suppression have led to the tragic escalation of conflict.",negative,2024-03-07
VADER,The expert said that the deadly attack by the Houthi rebels is to some extent part of the ongoing efforts to coordinate with Hamas to exert pressure on the US and accelerate the cease-fire deal it brokered and make the deal more favorable for Palestine. ,negative,2024-03-07
VADER,"However, the current deal is facing significant disagreements and has stalled once again, making it even more unlikely to be reached before the start of the Muslim holy month of Ramadan - the informal deadline for the deal.",negative,2024-03-07
VADER,"Three days of negotiations with Hamas over the cease-fire in Gaza have failed to achieve a breakthrough, Al Jazeera reported on Tuesday.",negative,2024-03-07
VADER,"However, the US insisted on Wednesday that a truce accord before Ramadan is still possible.",neutral,2024-03-07
VADER,"The likelihood of its passage depends largely on how much the US hopes to gain political points, particularly in the upcoming presidential elections, through the achievement of such an agreement.",positive,2024-03-07
VADER,"This will determine the extent of effort the US is willing to put in and the pressure it will exert on both parties, Zhu noted. ",positive,2024-03-07
VADER,"The US blocked forcibly, for the fourth time, a cease-fire resolution at the UN Security Council on Tuesday.",positive,2024-03-07
VADER,"Geng Shuang, China's deputy permanent representative to the UN, said the results of the vote clearly showed that the vast majority of Council members are unanimous on the issue of a cease-fire in Gaza, while the US exclusively abused its veto power to stifle the Council's consensus, which has caused widespread discontent in the international community.",negative,2024-03-07
VADER," 

 



 



 The Jordan Armed Forces-Arab Army said on Tuesday that it conducted eight joint airdrops of aid to Gaza with several countries.",neutral,2024-03-06
VADER,"The airdrops, which came as part of continued efforts to deliver humanitarian aid to the residents of the Gaza Strip, were conducted by three C130 aircraft belonging to the Royal Jordanian Air Force, three American aircraft, one Egyptian aircraft, and one French aircraft, the state-run Petra news agency reported.",neutral,2024-03-06
VADER,"The relief and food aid targeted several sites in northern Gaza, and it included materials provided by the World Food Programme, Petra reported.",positive,2024-03-06
VADER,"The operation is part of Jordan's ongoing efforts to send more medical, relief, and food aid to the people in the Gaza Strip to alleviate the effects of the conflict and compensate for the severe shortages in food and medicine due to the continued Israeli aggression, according to the agency.",negative,2024-03-06
VADER,"The armed forces emphasized continued commitment to sending aid through an aerial bridge, whether through aid planes from Amman's Marka Military Airport to El-Arish International Airport in Egypt's North Sinai or through airdrop operations to the Gaza Strip.",positive,2024-03-06
VADER," 

People are seen on a road at Al-Maghazi refugee camp in central Gaza Strip, on March 5, 2024.",neutral,2024-03-06
VADER,"The Palestinian death toll in the Gaza Strip from ongoing Israeli attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday.(Photo: Xinhua) 



",negative,2024-03-06
VADER,"A man pushes a bicycle at Al-Maghazi refugee camp in central Gaza Strip, on March 5, 2024.",neutral,2024-03-06
VADER,"The Palestinian death toll in the Gaza Strip from ongoing Israeli attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday(Photo:",negative,2024-03-06
VADER,"Xinhua) 



People walk past destroyed buildings at Al-Maghazi refugee camp in central Gaza Strip, on March 5, 2024.",negative,2024-03-06
VADER,"The Palestinian death toll in the Gaza Strip from ongoing Israeli attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday.(Photo:",negative,2024-03-06
VADER,Xinhua) ,neutral,2024-03-06
VADER,"The Palestinian death toll in the Gaza Strip from ongoing Israeli attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday.",negative,2024-03-06
VADER,"In the press statement sent to Xinhua, the ministry said that the Israeli army killed 97 and wounded 123 others during the past 24 hours, bringing the total death toll to 30,631 and injuries to 72,043.The statement noted that some victims remain under the rubble amid heavy bombardment and a lack of civil defense and ambulance crews.",negative,2024-03-06
VADER,The Palestinian Ministry of Foreign Affairs has warned of the deepening of the humanitarian crisis in the coastal enclave as a result of the continuation of the conflict.,negative,2024-03-06
VADER,"In a statement sent to Xinhua, it accused Israel of ""escalating the episodes of genocidal war at a worse pace due to the population density it has created in the center and south of the Gaza Strip, where the number of displaced Palestinians is approximately 1.7 million.",negative,2024-03-06
VADER,Palestinians who do not know where to go or are displaced as a result of the continuous bombing that affects everything and in the absence of any safe place there.,positive,2024-03-06
VADER,"""Israel has been launching a large-scale offensive against Hamas in the Gaza Strip to retaliate against a Hamas rampage through the southern Israeli border on Oct. 7, 2023, during which about 1,200 people were killed and more than 200 taken hostages.",negative,2024-03-06
VADER,"China is deeply disappointed that the UN Security Council's call for a cease-fire had been forcibly blocked by the United States for a fourth time, Geng Shuang, China's deputy permanent representative to the UN, said in a statement on Tuesday.  ",negative,2024-03-06
VADER,"As the Muslim holy month of Ramadan approaches, the international community must push for an immediate cease-fire and an end to the conflict with the strongest sense of urgency and the greatest political determination.",positive,2024-03-06
VADER,"According to the statement, the current results of the Council's vote clearly show that the vast majority of Council members are unanimous on the issue of a cease-fire in Gaza, while the US exclusively abused its veto power to stifle the Council's consensus, which has caused widespread discontent in the international community. ",negative,2024-03-06
VADER,"Geng said that the immediate cease-fire in Gaza is necessary to save innocent civilians, a prerequisite for humanitarian relief and a key to avoid further escalation and proliferation of the conflict.",positive,2024-03-06
VADER,International community has to push for an immediate cease-fire to preserve the hope of survival for the people of Gaza. ,positive,2024-03-06
VADER,"""We urge Israel to immediately reverse its course, cancel its plan of attack on Rafah, stop its military assault on Gaza and end its forced transfer and collective punishment of the Palestinian community,""  Geng said.",negative,2024-03-06
VADER,"""We call on the countries concerned to put aside geostrategic and domestic political considerations, to be truly impartial and responsible, and to make the right choice and play a constructive role in promoting a cease-fire in Gaza.",positive,2024-03-06
VADER,"""Gaza, which remains under fire, is facing an unprecedented humanitarian disaster, with extreme shortages of survival supplies.",negative,2024-03-06
VADER,"Nearly 600,000 people are on the brink of starvation and social order is on the verge of collapse. ",negative,2024-03-06
VADER,"Geng said that China urges Israel, as the occupying party, to fulfill its obligations under international law by guaranteeing the safe, rapid and unimpeded entry of sufficient humanitarian supplies and by taking practical measures to safeguard the safety of humanitarian agencies and personnel and provide them with the necessary facilities to carry out their relief work.",positive,2024-03-06
VADER,Geng said that resolutions 2712 and 2720 adopted by the Council must be fully implemented.,neutral,2024-03-06
VADER,Geng emphasized that the two-state solution is the only viable way to resolve the Hamas-Israeli conflict.,positive,2024-03-06
VADER,The recent public rejection of the two-state solution by some Israeli political figures and the rejection of any international efforts to realize an independent Palestinian State are alarming. ,negative,2024-03-06
VADER,"""China calls for intensified international and regional diplomatic efforts to reshape a credible multilateral process, revitalize the political prospects for the two-state solution and restart direct negotiations between Palestine and Israel,"" Geng said.",positive,2024-03-06
VADER,"""We advocate the convening of an international peace conference of greater scale, scope and effectiveness.",positive,2024-03-06
VADER,We support Palestine's full membership in the UN as soon as possible.,positive,2024-03-06
VADER,"""China will continue to work with the international community to maintain unremitting efforts to put an end to the fighting in Gaza, and alleviate the humanitarian disaster, to implement the two-state solution and to realize long-term peace and security in the Middle East, Geng said.",positive,2024-03-06
VADER,Global Times,neutral,2024-03-06
VADER," Nobody who has watched British civic life in recent years will have been in the least bit surprised that a recent study by the country's Office for National Statistics (ONS) has found only 12 percent of the public trust their politicians, a spectacular low. ",positive,2024-03-06
VADER,People feel increasingly alienated from those who are supposed to have been elected to represent their interests.,positive,2024-03-06
VADER,"Worse, they feel unable to influence the heedless parliamentary apparatus which seems to be being used to serving the politicians more than it serves the people.",negative,2024-03-06
VADER,"The job of the ONS is to gather, process and analyze data about the United Kingdom's economy, society and population, and is widely regarded as a professional and impartial authority.",positive,2024-03-06
VADER,This makes the findings of its annual Trust in Government survey so striking. ,positive,2024-03-06
VADER,"The collapse in trust in political parties is an unimpressive 12 percent this year, which is down from an already lamentable 20 percent in the previous analysis.",negative,2024-03-06
VADER,"The proportion of adults trusting the government itself also fell - from 35 percent to 27 percent - and trust in parliament, the institution where the politicians operate, plummeted from 34 percent to 24 percent.",positive,2024-03-06
VADER,"These figures echo a study from a market research company last year, which said only 9 percent of people trusted their politicians to tell the truth (the lowest level in 40 years).",positive,2024-03-06
VADER,The inevitable conclusion to be drawn is that most Britons think that the political class that has the power to make decisions that control their lives are liars.,negative,2024-03-06
VADER,One reason the UK public is so disillusioned with their politics is the prevailing doctrine which favors political centrism.,negative,2024-03-06
VADER,"Party leaders are reluctant to appear too leftist or rightist for fear of driving support away, so they gravitate toward the center.",positive,2024-03-06
VADER,"These are not the politics of conviction or ideology, but of opportunity for self-serving individuals who are willing to change their policies and even opinions to give themselves the best chance of winning. ",positive,2024-03-06
VADER,"A general election is expected in Britain this year, in a country that has essentially been a two-party system for generations.",neutral,2024-03-06
VADER,"The Conservative and Labour parties are electorally dominant and regularly alternate in government, largely because of the country's outdated, unfair and anti-democratic first-past-the-post electoral system, which works to marginalize and exclude voices outside of the center.",negative,2024-03-06
VADER,"This makes it difficult for other relevant parties, such as the Greens and especially smaller groups such as communists, to be represented in Westminster.",positive,2024-03-06
VADER,This feeling of alienation from the process of government is exacerbated by the closeness of the two main parties.,positive,2024-03-06
VADER,"At the election, there will be little to choose between the main party's candidates in important aspects of policy.",positive,2024-03-06
VADER,"In fact, Rishi Sunak's Tories and Keir Starmer's Labour have recently accused each of stealing the other's policies and mimicking standpoints.",negative,2024-03-06
VADER,"Neither of them spoke out against the war in Gaza, for example, until it had been raging for months.",negative,2024-03-06
VADER,Both parties have declared support for rules that prevent families from receiving a state benefit for more than two children - something that affects many low-income households.,positive,2024-03-06
VADER,"At the other extreme, both parties are prepared to lift a cap on bankers' bonuses - something which was devised to discourage reckless investment behavior - and allow them to make unlimited payments.",positive,2024-03-06
VADER,Both parties have also declared the need to continue with austerity-style policies which are blamed for the declining nature of Britain's economy.,negative,2024-03-06
VADER,"Both parties favor cracking down on illegal immigration, and approve of higher defense spending, keeping the Trident nuclear deterrent (despite a recent failed test-firing of one of the ￡17m missiles) and continued support for Ukraine.",positive,2024-03-06
VADER,"If the people, despairing at the lack of choice among those who seek to govern them, should dare to speak out and protest, the establishment has been devoting a lot of time and effort into devising laws aimed at discouraging and restricting demonstrations.",negative,2024-03-06
VADER,The temperature has been further raised by the politicians themselves complaining that the strength of dissent has put them in danger.,negative,2024-03-06
VADER,"They call protest marches ""hate marches.""",negative,2024-03-06
VADER,"If there is one that the people hate, it is being lied to and not being served by those whose job it is to serve them.",negative,2024-03-06
VADER,And that is why so few people trust or believe them.,positive,2024-03-06
VADER,The author is a journalist and lecturer living in Britain.,neutral,2024-03-06
VADER,opinion@globaltimes.com.cn,neutral,2024-03-06
VADER,"In what appears to be ""the strongest rebuke"" of its close ally made yet by a senior leader in the US government, Vice President Kamala Harris on Sunday bluntly called out Israel for the ""inhuman"" conditions it has caused that made Gaza a ""humanitarian catastrophe,"" according to media reports.",negative,2024-03-05
VADER,"Harris urged an ""immediate cease-fire"" in Gaza for at least the next six weeks, a deal that White House officials said Israel is close to accepting.",positive,2024-03-05
VADER,"""The Israeli government must do more to significantly increase the flow of aid.",positive,2024-03-05
VADER,"No excuses,"" the US' No.2 political figure said.",negative,2024-03-05
VADER,"However, according to a local newspaper, Israel boycotted Gaza cease-fire talks in Cairo on Sunday, citing reasons from Hamas over a list of hostages.",negative,2024-03-05
VADER,"On the same day, Israeli strike on an aid distribution truck carrying food to displaced Gaza residents killed at least nine people and wounded many others, Al Jazeera reported.",negative,2024-03-05
VADER,"""The latest episode has shown just how embarrassing the situation is now for the Biden administration, which gives people the impression that American policy-makers are having 'mental disorders'…if they keep sticking up for Israel despite global outrage, it will further tarnishing the image of the US, and more importantly, losing the Arab-American voters in key swing states as Biden seeks re-election,"" Li Haidong, a professor at the China Foreign Affairs University, told the Global Times on Monday. ",positive,2024-03-05
VADER,"While Harris' call is seen as a desperate attempt to try and ""stop the bleeding"" from yet another major misstep in the incumbent's foreign policy, Biden has found it hard to rein in Israel, Li said.",negative,2024-03-05
VADER,"""The world is watching the power play between these two strange bedfellows.",positive,2024-03-05
VADER,"""Lü Xiang, a research fellow at the Chinese Academy of Social Sciences, added that the internal spat over Gaza issue indicates that the US is struggling with resource allocation because they do not have enough to support the simultaneous mobilization of several pawns, including Israel in the Middle East, Ukraine against Russia and China's Taiwan. ",neutral,2024-03-05
VADER,"The insufficiency has led to voices within the Democrats to drop the current Israel policy, while giving the Republicans a weapon to attack Biden for being weak, Lü noted. ",negative,2024-03-05
VADER,"Harris' comments came just two days ahead of ""Super Tuesday,"" which is considered one of the most important dates on the US political calendar when the largest number of states will hold their presidential primaries and caucuses.",positive,2024-03-05
VADER,"During the Democratic primary in Michigan last week, more than 100,000 voters cast a vote for ""uncommitted"" in a ground-breaking move to denounce Biden's ""unwavering"" support for Israel.",positive,2024-03-05
VADER,"Although this ""Super Tuesday"" seems exceptionally insignificant as the presidential candidates of both parties have already become evident, this round of elections will serve as a crucial indicator for the official showdown between the two at the end of the year, experts said. ",positive,2024-03-05
VADER,"Judging by a new poll by The New York Times and Siena College, Biden trails behind former US president Donald Trump by five percent in the national survey of registered voters.",neutral,2024-03-05
VADER,"""Biden's campaign does not look promising.",negative,2024-03-05
VADER,"It is sad that Biden's foreign policy, which had been regarded an advantage of his over Trump, has now become his biggest liability.",negative,2024-03-05
VADER,"Starting from the Afghan troop withdrawal, to the Ukraine crisis and now the Gaza crisis, each decision he made resulted in a decline of his approval ratings,"" Lü said. ",negative,2024-03-05
VADER,"In contrast, Trump is taking the lead in almost every topic of the election race, experts noted.",neutral,2024-03-05
VADER,"Furthermore, despite being embroiled in legal battles, Trump is using this to promote conspiracy theories by portraying himself as a ""victim"" and rallying support among grassroots Republican voters, thus weakening challengers within the party, while gaining sympathy votes from outside the party.",positive,2024-03-05
VADER,"No matter who wins the final race, Li said, the US' foreign policy is always a result of political infighting, featuring a high degree of instability in handling global affairs.",positive,2024-03-05
VADER,"The toxic environment of opposition and confrontation in its domestic politics will risk paralyzing the whole international affairs in which the US interferes, the expert warned.",negative,2024-03-05
VADER," Editor's Note:This week, China kicked off the two sessions, one of the most important political gatherings annually.",positive,2024-03-05
VADER,"The event offers an important window for the outside world to understand China's development, and where the world's second-largest economy is headed and top policy priorities in 2024. ",positive,2024-03-05
VADER,What are the world's general expectations of the two sessions?,neutral,2024-03-05
VADER,And how do foreign economists and think tanks view China's growth potential?,positive,2024-03-05
VADER,"Recently, Global Times reporter Li Xuanmin (GT) conducted an interview with Helga Zepp-LaRouche (HZL), founder of Germany-based political and economic think tank the Schiller Institute.",neutral,2024-03-05
VADER,GT:,neutral,2024-03-05
VADER,China is holding the annual two sessions this week.,neutral,2024-03-05
VADER,What are your expectations for the meeting? HZL,neutral,2024-03-05
VADER,": I expect that it will address strategic challenges that pose barriers to global development, based on China's vision to build a global community with shared future.",positive,2024-03-05
VADER,"Of special interest for me will also be to learn what the idea of building ""new quality productive forces"" will actually mean, since the Chinese economy is already the locomotive of the world economy. ",positive,2024-03-05
VADER,Mankind is clearly at a branching point.,positive,2024-03-05
VADER,"Since geopolitics is the curse of history, I am hopeful that China's two sessions will show a pathway for the world, and help the world understand how to overcome the mistaken view that a country or a group of countries must defend its interests against another group by all means.",positive,2024-03-05
VADER,"It is quite possible for China to establish a new paradigm, where the interests of all can be taken care of.",positive,2024-03-05
VADER,"That is a new system, which allows for the development of all.",neutral,2024-03-05
VADER,GT:,neutral,2024-03-05
VADER,What is the significance of the political gathering amid rising global headwinds?,positive,2024-03-05
VADER,"And from your perspective, what role will China and the Chinese economy play in the world this year?HZL: Chinese foreign policy has proven to be an anchor of stability.",positive,2024-03-05
VADER,The biggest danger now is the two regional conflicts: the Russia-Ukraine conflict and the Israel-Palestine conflict.,negative,2024-03-05
VADER,"And China has made comprehensive diplomatic proposals for both crises, showing the path to a peaceful solution. ",positive,2024-03-05
VADER,The extension of the China-proposed Belt and Road Initiative (BRI) could play a decisive role in reconstruction for the countries involved in conflict in the context of a regional development perspective.,positive,2024-03-05
VADER,"The Schiller Institute has also proposed a concrete economic development plan, the Oasis plan, which could bring peace for all countries involved.",positive,2024-03-05
VADER,GT:,neutral,2024-03-05
VADER,"From your perspective, what will be the focal points of China's economic work this year?",neutral,2024-03-05
VADER,"What are your estimates for key economic figures that will be set during the two sessions?HZL: The economic work focus this year will be on boosting high technology, high efficiency and high quality of production.",positive,2024-03-05
VADER,"Given the high number of scientists and engineers China has, and the addition of around 11 million university graduates per year, the transformation of basic scientific and technological breakthroughs into real production in the Chinese economy will be very significant. ",positive,2024-03-05
VADER,"GT: What role do you expect the Chinese economy to play in the world this year, amid the complex geopolitical situation? HZL: There have been increasing tendencies of decoupling and ""de-risking,"" which really amount to the same thing.",positive,2024-03-05
VADER,"When the EU is preparing tax barriers against Chinese imports, they are further isolating themselves to their own detriment.",neutral,2024-03-05
VADER,"I expect China to be a strong advocate for multilateralism, and to build cooperation with the Global South, where there have been tremendous efforts in transforming from exports of raw materials toward economic models based on the value chain. ",positive,2024-03-05
VADER,"Also, naturally the BRICS-Plus - of which China is a founding member - will gain increasing importance this year, and include new credit mechanisms that promote development for all participants. ",positive,2024-03-05
VADER,GT:,neutral,2024-03-05
VADER,The BRI is also high on the agenda of the two sessions.,neutral,2024-03-05
VADER,"From your perspective, how will China chart a new BRI blueprint in the 11th year of its development?HZL: Since the development requirements of the Global South are gigantic, in the next decade, the China-proposed BRI offers plenty of opportunities for all nations to work together for their mutual benefit.",positive,2024-03-05
VADER,"And if all countries can bear in mind such a perspective, the next decade of the BRI can unleash the creative potential of billions of people.",positive,2024-03-05
VADER,"In terms of European countries, especially Germany and France, they are experiencing a dramatic economic slowdown.",neutral,2024-03-05
VADER,So hopefully there will be a greater openness to respond to what the BRI has to offer.,positive,2024-03-05
VADER,Editor's Note:China's annual two sessions began this week.,neutral,2024-03-05
VADER,"This critical series of meetings in spring is vital to defining China's approach to economic, political and foreign policy issues for the whole year.",neutral,2024-03-05
VADER,"It also offers observers a window into the latest ideas and practices of China's development in various aspects, including the whole-process people's democracy, high-quality development, Chinese modernization and the wisdom the country provides to global governance.",positive,2024-03-05
VADER,The Global Times selected the opinions of foreign scholars to shed light on these concepts.,neutral,2024-03-05
VADER,"Kerry Brown, professor of Chinese Studies and director of the Lau China Institute at King's College, LondonChina's path to modernization in the last half a century has had the advantage of being able to observe what other countries, including the US, European countries and Japan, did earlier in their programs to change their economies and develop.",positive,2024-03-05
VADER,"What China did over this period is, as the phrase in the late 1970s put it, emancipating the mind, seeking truth from facts and keeping pace with the times.",positive,2024-03-05
VADER,"It adopted a pragmatic approach and one that allowed many different ideas about how to develop itself to be tried and tested, for example, township and village enterprises.",neutral,2024-03-05
VADER,"These were tried in some places and then when they showed potential, were promoted in others, to the point that they became national policy.",positive,2024-03-05
VADER,"So China was very open-minded about what models it took from the outside world, but it also made sure these were adapted to the unique situation within the country.",positive,2024-03-05
VADER,"This was mostly about acknowledging the scale and diversity of China, a country that is continental in size and complexity.",neutral,2024-03-05
VADER,I think this made the Chinese experience very different than anywhere else.,neutral,2024-03-05
VADER,It was a remarkable mixture of the local and the international.,positive,2024-03-05
VADER,"The changes in China over the past 40 years as ""earth-shattering.""",neutral,2024-03-05
VADER,The main change has been in people's material living standards.,neutral,2024-03-05
VADER,"At the start of 1978, per capita GDP was about $190.",neutral,2024-03-05
VADER,"Today it is coming close to about $12,000.",neutral,2024-03-05
VADER,That means immense changes in people's general living standards.,neutral,2024-03-05
VADER,"Over the last 40 years, more people than ever before have seen their living standards generally increase in China.",positive,2024-03-05
