Model,Sentence,Sentiment,published_time
VADER,"The package contains a number of ""calibrated measures"" targeting banks that finance the Russian military apparatus and contribute to the destabilization of Ukraine.",positive,2022-02-23
VADER,"It also bans trade between the two breakaway regions and the EU, as it did with Crimea in 2014, and limits the Russian government's ability to raise capital on the EU's financial markets.",positive,2022-02-23
VADER,"Russian President Vladimir Putin on Monday evening signed decrees recognizing the independence of two self-proclaimed regions in eastern Ukraine's Donbass as ""the Lugansk People's Republic (LPR)"" and ""the Donetsk People's Republic (DPR).""Russia has done everything to preserve the territorial integrity of Ukraine by fighting for the implementation of 2015 Minsk agreement, but all the efforts ended up in vain, Putin said on Monday.",negative,2022-02-23
VADER,"The security crisis occurred due to NATO's eastward expansion, which has led to the loss of mutual trust with Russia, he noted.",negative,2022-02-23
VADER,"According to Josep Borrell, EU's High Representative for Foreign Affairs and Security Policy, the package comprises sanctions against 351 members of the Russian State Duma (lower house of the country's Federal Assembly) who voted to recognize the two regions.",positive,2022-02-23
VADER,"The EU will also ""target 27 individuals and entities who are playing a role in undermining or threatening Ukraine's territorial integrity, sovereignty and independence,"" he said.",negative,2022-02-23
VADER,"Furthermore, the sanctions aim to target the Russian state's ability to access the EU's capital and financial markets and services.",positive,2022-02-23
VADER,"""If",neutral,2022-02-23
VADER,"Russia continues to escalate this crisis that it has created, we are ready to take further action in response,"" von der Leyen said.",negative,2022-02-23
VADER,"On the controversial Russia-Germany Nord Stream 2 gas pipeline, von der Leyen said she believed that the German government was ""absolutely right"" to stop the project, which must be assessed in light of the security of energy supply for all of Europe.",positive,2022-02-23
VADER,"""This crisis shows that Europe is still too dependent on Russian gas.",negative,2022-02-23
VADER,We have to diversify our suppliers and massively invest in renewables.,neutral,2022-02-23
VADER,"This is a strategic investment in our energy independence,"" she said.",positive,2022-02-23
VADER,The conflict in eastern Ukraine began in April 2014 with fightings between the Ukrainian government troops and local armed groups who seized several towns.,negative,2022-02-23
VADER,"With the mediation of the global community, the two sides in Belarus' capital of Minsk reached ceasefire agreements in September 2014 and February 2015 respectively.",positive,2022-02-23
VADER,Russia has been seeking NATO's guarantee to halt eastward expansion.,positive,2022-02-23
VADER,"However, U.S. President Joe Biden's administration took a hard line against Russia, supporting Ukraine's efforts to join the U.S.-led military alliance and increasing its military assistance to Ukraine, which has re-escalated tensions in the region.",positive,2022-02-23
VADER,"The situation in eastern Ukraine has been getting worse since Feb. 17, as the Ukrainian government and local armed groups blamed each other for launching aggressive bombards.",negative,2022-02-23
VADER," The Russian Federation Council, or the upper house of parliament, on Tuesday approved Russian President Vladimir Putin's request for the use of military abroad.",positive,2022-02-23
VADER,"""Senators unanimously supported the adoption of the relevant Resolution,"" said a statement published on the website of the Federation Council.",positive,2022-02-23
VADER,"Putin on Tuesday submitted a proposal that the Federation Council approve a resolution authorizing the use of the Armed Forces of the Russian Federation abroad on the basis of the generally accepted principles and norms of international law, according to the Kremlin.",positive,2022-02-23
VADER,"Earlier in the day, Russia's State Duma, the lower house of parliament, ratified the treaties on friendship, cooperation and mutual assistance with ""the Lugansk People's Republic (LPR)"" and ""the Donetsk People's Republic (DPR)"" during a plenary session.",positive,2022-02-23
VADER,"Putin inked the treaties on Monday, together with the heads of the LPR and DPR.",neutral,2022-02-23
VADER,The president also signed two decrees recognizing the LPR and the DPR as independent and sovereign states on Monday.,neutral,2022-02-23
VADER,Ukrainian President Volodymyr Zelensky said early Tuesday that Kiev has been urging the international community to hold emergency talks over Russia's decision on the status of Donetsk and Lugansk regions in eastern Ukraine.,negative,2022-02-23
VADER," U.S. President Joe Biden on Tuesday announced ""the first tranche"" of sanctions against Russia after Moscow deployed troops in the Lugansk and Donetsk regions.",neutral,2022-02-23
VADER,"Russian President Vladimir Putin on Monday signed two decrees, recognizing ""the Lugansk People's Republic"" and ""the Donetsk People's Republic"" as ""independent and sovereign"" states, and later ordered troops to enter the regions to conduct peacekeeping operations.",positive,2022-02-23
VADER,Lugansk and Donetsk declared independence following a vote during the height of armed conflict with Kiev in 2014.,negative,2022-02-23
VADER,Ukraine refused to recognize their self-proclaimed status.,negative,2022-02-23
VADER,"Calling Russia's move ""the beginning of a Russian invasion of Ukraine,"" Biden said in remarks delivered from the White House that his administration will impose sanctions on two Russian financial institutions - the VEB and the country's military bank -- as well as on Russia's sovereign debt and three individuals.",negative,2022-02-23
VADER,"He explained that the measure ""means we've cut off Russia's government from Western financing.",negative,2022-02-23
VADER,It can no longer raise money from the West and cannot trade in its new debt on our markets or European markets either.,negative,2022-02-23
VADER,"""Biden also mentioned the suspension of the Nord Stream 2 natural gas pipeline project between Russia and Germany, which Berlin announced earlier in the day.",positive,2022-02-23
VADER,"Additional sanctions will be followed if the situation escalates, he said.",neutral,2022-02-23
VADER,"The president also announced movements of U.S. troops to the three Baltic states of Estonia, Latvia and Lithuania, all of which are members of the North Atlantic Treaty Organization (NATO) and share borders with Russia.",positive,2022-02-23
VADER,"Biden said that the United States has ""no intention of fighting Russia"" but will ""abide by"" its commitments to NATO.Following Moscow's recognition of Lugansk and Donetsk, Biden signed an executive order on Monday banning Americans from doing businesses in the two regions.",positive,2022-02-23
VADER,"On Tuesday, U.S. Secretary of State Antony Blinken called off a meeting with Russian Foreign Minister Sergey Lavrov scheduled for Thursday.",neutral,2022-02-23
VADER,"During a joint press briefing at the State Department with Ukrainian Foreign Minister Dmytro Kuleba, Blinken said it makes little sense to hold a meeting with Lavrov following the Russian moves.",neutral,2022-02-23
VADER,"The secessionist DPP authority's so-called ""sympathy"" for Ukraine's situation is 'self-serving,' Ma Xiaoguang, spokesperson for the Taiwan Affairs Office of the State Council, commented on Wednesday.",positive,2022-02-23
VADER,"The DPP authority has been playing along the US and Western rhetoric and exploiting the Ukraine issue to maliciously hype the so-called ""military coercion"" from the Chinese mainland, behind which hides their evil intentions of ""internationalizing"" the Taiwan question and inciting ""anti-China"" sentiments on the island, Ma said.",negative,2022-02-23
VADER,Ma said it is entirely a political manipulation by the DPP for its own selfish interests.,negative,2022-02-23
VADER,"The spokesperson reiterated that the island of Taiwan is an inalienable part of China, and that the Taiwan question is purely China's domestic affair.",neutral,2022-02-23
VADER,Ma stressed that the DPP authority and the secessionists on the island colliding with external forces are the root cause of the tension across the Taiwan Straits.,negative,2022-02-23
VADER,"All the necessary actions Beijing has taken to safeguard China's national sovereignty and territorial integrity are aimed at stopping secessionist activities and interference by external forces, with the purpose of fundamentally safeguarding the vital interests of the compatriots on both sides of the Taiwan Strait and the overall interests of the Chinese people, Ma said.",positive,2022-02-23
VADER,Global Times,neutral,2022-02-23
VADER,The Munich Security Conference 2022 was held under the shadow of multiple challenges including the Ukraine crisis.,negative,2022-02-23
VADER,"The Munich Security Index 2022 shows perceptions of risk that pervade the societies of G7 countries due to the COVID-19 pandemic, geopolitical tensions, domestic political polarization, and rising inequality.",negative,2022-02-23
VADER,"As the Munich Security Report 2022 points out, many Western people believe that they are living in a ""new era of successive and interconnected disruptions,"" and there is a growing ""collective helplessness.",negative,2022-02-23
VADER,"""Such helplessness comes from domestic political dysfunction.",negative,2022-02-23
VADER,"Economic inequality, ethnic tensions, and intergenerational conflicts are old problems that become even worse in a polarized political environment.",negative,2022-02-23
VADER,"The stagnation of political reforms has largely contributed to ""crisis fatigue"" within the G7 countries mentioned in the Munich Security Report 2022.",negative,2022-02-23
VADER,People feel less confident in their governments.,positive,2022-02-23
VADER,"According to a recent NBC News poll, only 22 percent answered that things are ""headed in the right direction.",neutral,2022-02-23
VADER,"""The trend toward the retreat of democracy continues, warned Wolfgang Ischinger, chairman of the Munich Security Conference.",positive,2022-02-23
VADER,"The ""illiberal movement"" within the West is worsening, and there are challenges like populism and neo-fascism.",negative,2022-02-23
VADER,US leadership in the West has been damaged due to its domestic illiberal movement.,negative,2022-02-23
VADER,"During the Biden presidency, the US is more divided under the crisis of democracy. ",negative,2022-02-23
VADER,"Helplessness stems from the external challenges Western countries face, which are often self-imposed.",negative,2022-02-23
VADER,"NATO enlargement and the EU's expansion eastward are the key factors influencing Russia's strong responses to the Ukraine crisis, according to John Mearsheimer, professor at the University of Chicago.",negative,2022-02-23
VADER,He pointed out that the Ukraine crisis is the West's fault as the West had been moving into Russia's backyard and threatening its core strategic interests. ,negative,2022-02-23
VADER,"Indeed, Ukraine has the right to make a choice, but that choice should not expose its neighbor to a major security threat.",negative,2022-02-23
VADER,"Given the US and EU interference in Ukraine, it's hard to argue that Kiev's choice is truly ""independent.""",neutral,2022-02-23
VADER,"Leaked classified documents show that senior US officials like Victoria Nuland, US' current under secretary of state for political affairs, have been weighing in on the make-up of the Ukrainian government. ",positive,2022-02-23
VADER,"For the US, the survival of NATO depends on deliberately created geopolitical tensions.",negative,2022-02-23
VADER,The Obama administration's actions during the Russo-Georgian War and the Biden administration's moves during the recent Ukraine crisis show to the world a rattled US government. ,negative,2022-02-23
VADER,"""Helpless"" Europe must realize that there is indeed a geopolitical factor.",negative,2022-02-23
VADER,"Some European countries, including Germany, seem to be interested in participating in the geopolitical game in the Indo-Pacific region, following Washington to provoke Beijing on the Taiwan question.",neutral,2022-02-23
VADER,This will bring them into trouble. ,negative,2022-02-23
VADER,Another contribution to the West's helplessness is the Afghanistan issue.,negative,2022-02-23
VADER,"With the hasty withdrawal of the US troops from Afghanistan, the humanitarian crisis in Afghanistan is getting worse because of the de facto US sanctions against the Taliban.",negative,2022-02-23
VADER,"The West does have a sense of frustration over Afghanistan, but it cannot be allowed to shrug off its responsibility in an immoral matter. ",negative,2022-02-23
VADER,"The West is facing what former European Commission President Jean-Claude Juncker called a ""polycrisis.""",neutral,2022-02-23
VADER,"The US is hardly leading the West out of helplessness, and is in fact the cause.",negative,2022-02-23
VADER,"As the Munich Security Report 2022 emphasizes, collectively, they have the chance to turn the tide.",positive,2022-02-23
VADER,Individually they risk being swept away.,negative,2022-02-23
VADER,"Europe needs to make efforts to this end, especially to persuade Washington not to indulge in confrontations with China and Russia. ",negative,2022-02-23
VADER,The author is a senior fellow at the Charhar Institute and China Forum Expert at Tsinghua University.,neutral,2022-02-23
VADER,opinion@globaltimes.com.cn,neutral,2022-02-23
VADER,"On February 21, 1972, US President Richard Nixon came to Beijing to begin a ""world-changing"" visit.",neutral,2022-02-23
VADER,He became the first sitting US president to visit China.,neutral,2022-02-23
VADER,"On February 28, China and the US issued the Shanghai Joint Communiqué, which laid the foundation for the subsequent development of US-China relations.",neutral,2022-02-23
VADER,"Twenty years ago, in February 2002, I interviewed Dr Kissinger in New York.",neutral,2022-02-23
VADER,"Over the past two days, I have gone over my notes from that interview and have been filled with emotion.",neutral,2022-02-23
VADER,"The China-US relationship seems to have gone through a strange circle, from breaking the ice in 1972, to steadily rising to a warm point in 2002, and then beginning to freeze again.",positive,2022-02-23
VADER,The world is also in the midst of dramatic change.,neutral,2022-02-23
VADER,"From Chairman Mao Zedong's handshake with President Nixon, to former President Trump's ""decoupling"" with, to China-Russia back-to-back partnership today, and the outbreak of the Ukraine crisis, great powers are beginning to reorganize.",neutral,2022-02-23
VADER,I clearly remember Dr Kissinger telling me at the time that the breakthrough in the Shanghai Communiqué was largely due to a mutual recognition that establishing direct contacts was possible and in the interest of both sides.,positive,2022-02-23
VADER,Kissinger said President Nixon made the goal of establishing diplomatic relations with China an integral part of his international strategy as soon as he took office.,neutral,2022-02-23
VADER,The Chinese side had the same consideration.,neutral,2022-02-23
VADER,"According to Kissinger, there were also concerns on the Chinese side at the time about the threat from the Soviet Union.",negative,2022-02-23
VADER,Those were the two bases on which the Shanghai Communiqué made its breakthrough.,neutral,2022-02-23
VADER,"The basic spirit of the communiqué, in his view, was to establish a direct cooperative relationship between the US and China.",positive,2022-02-23
VADER,The two foundations Dr Kissinger spoke of reflect his idea of a balanced strategy.,neutral,2022-02-23
VADER,The central idea of his book World Order was that a balance of power based on the Peace of Westphalia was the key to avoiding war and building peace.,positive,2022-02-23
VADER,"This idea of strategic balance still influences Washington's global strategy today, and the adjustment of US policy toward China clearly comes from this idea.",positive,2022-02-23
VADER,"In recent years, some in Washington have insisted that the US-China relationship is headed for a breakdown because China has adopted a more aggressive strategy of foreign expansion, undermining the order that the US has worked on for years to establish in the Asia-Pacific region and is upsetting the global balance of power.",negative,2022-02-23
VADER,Some US scholars also cited Kissinger's advice before Nixon's visit to China 50 years ago.,neutral,2022-02-23
VADER,"According to declassified documents, Kissinger told Nixon at the time that the US should ""play the balance of power game without any emotion.",positive,2022-02-23
VADER,"""Kissinger also predicted that in 20 years, China would be ""even more powerful"" and reminded the US president at that time to consider how to rely on Russia to keep China down.",positive,2022-02-23
VADER,Such a balance of power game is to create a US-led structure to balance the relationship between global powers.,positive,2022-02-23
VADER,"Essentially it is not about trying to cooperate with the other side, but to ensure that the US can suppress and dismantle the other side in order to achieve US hegemony.",positive,2022-02-23
VADER,Such a balancing structure will eventually force many small and medium-sized countries to choose sides.,neutral,2022-02-23
VADER,"The crisis in Ukraine, which has gone so far, is a typical example.",negative,2022-02-23
VADER,"However, after China's peaceful rise, such a balancing strategy has become increasingly difficult to achieve.",positive,2022-02-23
VADER,"China and the US have become increasingly interdependent over the course of the past 50 years, and it is clear that their relationship is no longer tempered by equilibrium.",positive,2022-02-23
VADER,Any forces that Washington would like to leverage to reorganize the so-called balance will hardly stop China's continued development.,positive,2022-02-23
VADER,"Fifty years ago, the US-China relationship made a breakthrough because of the US balancing strategy, and now, 50 years later, the relationship is beginning to ""decouple.""",neutral,2022-02-23
VADER,"This is because, in Washington's balanced strategy, it has never seen itself as a party that can be on an equal footing with its so-called rivals, but always calculating how to prevent other countries from challenging its hegemonic position.",positive,2022-02-23
VADER,"The author is a senior editor with People's Daily, and currently a senior fellow with the Chongyang Institute for Financial Studies at Renmin University of China. dinggang@globaltimes.com.cn.",neutral,2022-02-23
VADER,Follow him on Twitter @dinggangchina,neutral,2022-02-23
VADER, United Nations Secretary-General Antonio Guterres vowed on Tuesday that the world body will never give up on finding a peaceful solution to the Ukraine crisis.,positive,2022-02-23
VADER,"""We must rally and meet this challenge together for peace, and to save the people of Ukraine and beyond from the scourge of war,"" the UN chief told reporters at the UN headquarters in New York.",positive,2022-02-23
VADER,"""It is high time to return to the path of dialogue and negotiations,"" he said, adding that he is ""fully committed to"" all efforts to resolve this crisis ""without further bloodshed.",negative,2022-02-23
VADER,"""The UN chief said that he is ""deeply troubled"" by the latest developments regarding Ukraine -- including reports of increased ceasefire violations across the contact line and the real risk of further escalation on the ground.",negative,2022-02-23
VADER,On February 21 Russian President Vladimir Putin signed a decree recognizing the independence of two break-away republics in Donbass of eastern Ukraine.,neutral,2022-02-23
VADER,Did it come as a surprise?,positive,2022-02-23
VADER,"Yes and no. Because of this decision, Russia will find itself under more severe sanctions from the West.",neutral,2022-02-23
VADER,"Definitely, they will slow down the modernization of the economy and will affect the living standard of the Russian people, but they will not undermine the position of President Putin as the majority of the population supports his decision.",positive,2022-02-23
VADER,"As for the international dimension, there are claims that the independence of Donbass changes the world order and international security at the global level.",positive,2022-02-23
VADER,This is a false assessment.,neutral,2022-02-23
VADER,It will be a local frozen situation if the West does not escalate the situation further.,neutral,2022-02-23
VADER,You may ask ordinary people in Italy or France how they view the conflict in Donbass in their everyday life.,negative,2022-02-23
VADER,"The answer will be obvious, ""read reports in mass media.""",neutral,2022-02-23
VADER,Not enough time has passed to make a long-term forecast but it is necessary to keep a sober mind so as not to make a miscalculation that could aggravate the situation.,negative,2022-02-23
VADER,No reasonable person wants a large-scale war in Europe.       ,negative,2022-02-23
VADER,It's the US government that keeps escalating the situation around Ukraine and stirring up tension inside that country.,negative,2022-02-23
VADER,"Actually, there are three goals.",neutral,2022-02-23
VADER,The first one has to do with domestic Ukrainian politics.,neutral,2022-02-23
VADER,The US is trying to bolster anti-Russian nationalist forces.,neutral,2022-02-23
VADER,British mass media gives a hand claiming that well-known opposition leader Yevhen Murayev is a pro-Russian public figure.,positive,2022-02-23
VADER,The final end is to unite the domestic anti-Russian front and suppress all who could come out for cooperation with Russia.,neutral,2022-02-23
VADER,That is why many Russian-speaking TV channels are closed in Ukraine and opposition is prosecuted.,negative,2022-02-23
VADER,Western mass media keep tight-lipped about that.,neutral,2022-02-23
VADER,The second US goal is to create an anti-Russian Ukraine to resist so-called Russian expansionism and to counterbalance Russia in Eastern Europe.,positive,2022-02-23
VADER,"The irony is that if Russian leadership had the intention to break up Ukraine into different parts or to annex it, the most appropriate time would have been right after the coup d'état in the capital Kiev in 2014, but it did not happen.",neutral,2022-02-23
VADER,The US and its allies have been creating a Ukraine that willingly joins NATO's strategy to contain Russia.,positive,2022-02-23
VADER,"That is why they supply military hardware, train Ukrainian personnel and hold joint military exercises.",neutral,2022-02-23
VADER,"They have been striving to achieve combat cohesion so the Ukrainian and NATO military could fight together with their common adversary, Russia.",negative,2022-02-23
VADER,Ukraine is just a US and NATO tool to confront Russia.  ,negative,2022-02-23
VADER,The third US goal is to include Ukraine in the US and NATO grand strategy to contain Russia in Europe and to ensure US influence in that region.,positive,2022-02-23
VADER,"Since 2014, the US and NATO have been pursuing their strategy based on the formula D+D (Deterrence and Defense) toward Russia.",positive,2022-02-23
VADER,"For this purpose, the US came out of its way to consolidate the collective West and use both NATO and non-NATO countries to realize this goal.",neutral,2022-02-23
VADER,Ukraine plays a special role here.,positive,2022-02-23
VADER,Ukrainian authorities have been working hard to obtain NATO membership though it is highly unlikely in the foreseeable future.,negative,2022-02-23
VADER,"However, Ukraine joined the US strategy hoping to accelerate membership into NATO.",positive,2022-02-23
VADER,The US' final goal in Europe is not only to keep Ukraine from Russia.,neutral,2022-02-23
VADER,That is an interim aim.,neutral,2022-02-23
VADER,The long-term goal is to weaken Russia and diminish it as a threat to European security and beyond.   ,negative,2022-02-23
VADER,Did the US achieve its ends?,neutral,2022-02-23
VADER,"Partially, yes.",positive,2022-02-23
VADER,It managed to consolidate the collective West against Russia and to paint it as an aggressor and a threat to the Western community.,negative,2022-02-23
VADER,"However, all attempts failed to make Russia refuse its vital security interests in Europe.",neutral,2022-02-23
VADER,The Russian position is also strong because it is bolstered by China's support that also experiences unjustified pressure from the US and its allies.,positive,2022-02-23
VADER,What can be done to evade further dangerous confrontation?,negative,2022-02-23
VADER,One of the biggest problems is a lack of trust.,negative,2022-02-23
VADER,Trust can be restored and confrontation stopped if the West accepts mutually beneficial security guarantees offered by Russia.,positive,2022-02-23
VADER,They include stopping NATO expansion to the East.,negative,2022-02-23
VADER,"Besides, it is vital to avoid deploying missile systems on the territory of NATO member-states close to Russia.",neutral,2022-02-23
VADER,"All in all, Russia needs mutual legally binding security guarantees from its Western neighbors. ",positive,2022-02-23
VADER,The time of promises passed.,positive,2022-02-23
VADER,"As the starting point for negotiations, the counterparts could agree on the resumption of a dialogue between the militaries.",positive,2022-02-23
VADER,"Second, it would be advisable to begin mutual reduction of the military activity along the line of Russia-NATO contact on specific terms.",neutral,2022-02-23
VADER,"And third, parties could arrange a mechanism to prevent dangerous military activity in the sea and in air space.",negative,2022-02-23
VADER,"If the West does not accept Russian proposals and keeps up escalation, Russia will have to resort to a military response by increasing its combat capability. ",negative,2022-02-23
VADER,"The author is deputy head of the International and National Security Department, Diplomatic Academy, Moscow.",positive,2022-02-23
VADER,opinion@globaltimes.com.cn,neutral,2022-02-23
VADER,"Many Chinese entrepreneurs, companies and industry groups in Ukraine remain calm and their daily business operations have not seen any particular disruptions from escalating tension in the country, several businesses sources in Ukraine told the Global Times on Wednesday.",negative,2022-02-23
VADER,"However, some larger state-owned companies are making contingency plans by stocking up necessities and are keeping a close eye on the situation, heeding calls from the Chinese Embassy in Kiev, the sources said.",neutral,2022-02-23
VADER,"The situation might also dissuade Chinese firms from launching new projects in the country for a while, despite bright prospect for bilateral cooperation, they added. ",negative,2022-02-23
VADER,"Power China, a state-owned energy construction company, told the Global Times on Wednesday that the company has a 288-megawatt wind power project in Ochakiv in southern Ukraine, and ""since it is not within the areas of conflict, both personnel and the project have not been affected.",positive,2022-02-23
VADER,"""Still, ""our project team in Ochakiv has stocked up basic daily necessities that are enough for two months,"" an employee with Power China told the Global Times on the condition of anonymity.",neutral,2022-02-23
