article_title,author,published_time,article_text,article_category_one,article_category_two,picture_description,author_title,author_description,sentence_count,word_count,pos_count
"China continues reconciliation efforts in Middle East despite US’ meddling, shows greater role in global governance",Fan Anqi,2023-04-18,"After the successfully brokered deal between decades-old rivalries Iran and Saudi Arabia that saw the restoration of ties in March, China is continuing its reconciliation efforts in the Middle East in settling the Yemen crisis and promoting Israel-Palestine peace talks. China's rising influence in global governance is in stark contrast to a decline in that of the US, whose claims of promoting peace serve only its own selfish interests which eventually resulted in greater rifts between civilizations in the region.Chinese State Councilor and Foreign Minister Qin Gang on Monday said that China encourages both Israel and Palestine to show political courage and take steps to resume peace talks, and China is ready to provide convenience for this, he noted in a phone call with Israeli Foreign Minister Eli Cohen.Qin said China is concerned about the current tension between Israel and Palestine, and the current priority is to bring the situation under control and prevent the conflict from escalating or even getting out of control.""It is never too late to do the right thing,"" the Chinese foreign minister said, adding that all parties should remain calm and restrained, and stop excessive and provocative words and deeds. The fundamental way out is to resume peace talks and implement the ""two-state solution.""Also on Monday, Geng Shuang, China's deputy permanent representative to the United Nations, said that the political process in Yemen has maintained good momentum, and China welcomes all parties concerned maintaining communication on the resumption of the truce.  Saudi Arabia, Oman and other regional countries are making positive efforts to ease the situation in Yemen and achieve a permanent cease-fire, Geng noted. The Chinese envoy said that the resumption of diplomatic ties between Saudi Arabia and Iran is of great significance for strengthening regional solidarity and cooperation and easing regional tensions. It has also set a good example for dialogue and consultation, and served as excellent practice for promoting the China-proposed Global Security Initiative.China's role in mediating conflicts in the region is constructive and unique, as China not only provides a platform for dialogue with a full range of resources but also a moderate and pluralistic atmosphere for the talks, experts said.China's mediating role is highlighted in a number of factors. For one thing, China's proposal of the Global Security Initiative, Global Development Initiative and Global Security Initiative as well as the concept of building a global community of a shared future, which advocates a multipolar world, are more in line with the values of Middle East countries.In terms of practical actions, China has shown an objective and neutral stance on international hot-button issues, including those in the Middle East, on the Afghanistan issue, and on the Russia-Ukraine conflict, Zhu Yongbiao, director of the Center for Afghanistan Studies at Lanzhou University, told the Global Times on Tuesday. In addition, the current complex international situation, with rising tensions and risks, has given countries in the region the anxieties and eagerness to seek stability and development, Zhu noted. The talks come at a time of rising tensions in the region. In Israel, clashes at the al-Aqsa mosque in Jerusalem earlier this month drew condemnation from Arab countries. Saudi Arabia, with whom Israel hopes to normalize ties, said Israel's ""storming"" of al-Aqsa undermined peace efforts, the Guardian reported.  The overlapping of Ramadan and Passover this April has increased the possibility of friction as Jerusalem hosts an unusually large influx of pilgrims. More people are worried that the latest clashes could ignite a powder keg in the region and block the road to peace and stability.The Israeli-Palestinian conflict is a multi-faceted and complex issue, but the biggest obstacle to peace talks at present is that some Israeli politicians still do not want to change their hard-line attitude toward the Palestinians and are unwilling to see its dominant position fade, while the US is fanning the flames to exacerbate the conflict, observers noted. In contrast to China's reconciliation efforts, US claims of ""returning peace to the Middle East"" is more of a lip service that serves its geopolitical goals, Zhu said. ""In a way, the US indeed wants to achieve peace in the region, but the premise is that such 'peace' must be the one that serves its own interests. The US dominance in the region, highlighting monopoly and exclusion, is based on the interests of its own and its allies, while ignoring the legitimate and rightful interests of other parties. The selfish acts only made things worse, further widening the rift between civilizations in the region,"" the expert noted.",CHINA,DIPLOMACY,"Chinese Foreign Minister Qin Gang attends a press conference on China's foreign policy and foreign relations on the sidelines of the first session of the 14th National People's Congress (NPC) in Beijing, capital of China, March 7, 2023. Photo: Xinhua",Author details not found,Author details not found,25,736,<FreqDist with 18 samples and 422 outcomes>
"Israel commemorates Jewish Holocaust victims with siren, ceremonies",Xinhua,2023-04-19," 

People stand in silence as a siren sounds to commemorate Jewish Holocaust victims in Tel Aviv, Israel, on April 18, 2023. Sirens sounded across Israel on Tuesday morning as the country came to a halt to commemorate the 6 million Jewish victims of the Nazi genocide during World War II(Photo: Xinhua) 



People stand in silence as a siren sounds to commemorate Jewish Holocaust victims in Tel Aviv, Israel, on April 18, 2023. Sirens sounded across Israel on Tuesday morning as the country came to a halt to commemorate the 6 million Jewish victims of the Nazi genocide during World War II(Photo: Xinhua) 



People stand in silence as a siren sounds to commemorate Jewish Holocaust victims in Tel Aviv, Israel, on April 18, 2023. Sirens sounded across Israel on Tuesday morning as the country came to a halt to commemorate the 6 million Jewish victims of the Nazi genocide during World War II(Photo: Xinhua) Sirens sounded across Israel on Tuesday morning as the country came to a halt to commemorate the 6 million Jewish victims of the Nazi genocide during World War II.At 10 am (0700 GMT), as the two-minute sirens echoed across the country, traffic abruptly came to a stop as drivers got out of their vehicles to stand in silence. People on streets, in stores and cafes stopped their activities and stood still in honor of the Jewish victims.The solemn commemoration began on Monday at nightfall at Yad Vashem, Israel's Holocaust memorial museum, attended by President Isaac Herzog and Prime Minister Benjamin Netanyahu.It continued on Tuesday with ceremonies in the Knesset, the Israeli parliament, as well as schools and other public venues throughout the country.At the Yad Vashem ceremony, a group of six survivors lit torches in memory of the 6 million killed in the Holocaust.In his speech, Herzog called on Israelis to set aside their differences and unite ahead of a week of national mourning, following weeks of violence and protests over the divisive government's judicial overhaul plan. Next week, Israel will mark its Memorial Day for fallen soldiers, followed by its 75th Independence Day the next day.""Let us leave these sacred days, which begin tonight and end on Independence Day, above all dispute,"" Herzog said. ""Let us all come together, as always, in partnership, in grief, in remembrance.""Following the siren, Netanyahu, Herzog, Speaker of the Knesset Amir Ohana and other officials laid wreaths in Yad Vashem to commemorate the Holocaust victims.During World War II, victims of the Holocaust were systematically rounded up, transported to concentration and extermination camps, and subjected to forced labor, starvation, and gas chambers.According to figures released by Israel's Central Bureau of Statistics on Monday, at the end of 2022, the number of Jewish holocaust survivors living in Israel was about 147,199",PHOTO,WORLD,"People stand in silence as a siren sounds to commemorate Jewish Holocaust victims in Jerusalem, on April 18, 2023. Sirens sounded across Israel on Tuesday morning as the country came to a halt to commemorate the 6 million Jewish victims of the Nazi genocide during World War II.(Photo: Xinhua)",Author details not found,Author details not found,15,439,<FreqDist with 16 samples and 280 outcomes>
Flight training held for upcoming Israel's Independence Day,Xinhua,2023-04-18," 

 



 



",PHOTO,WORLD,"Aircraft of the Israeli Air Force Aerobatic Team fly during a training for the upcoming Israel's Independence Day in Tel Aviv, Israel, on April 17, 2023.(Photo: Xinhua)",Author details not found,Author details not found,0,0,<FreqDist with 0 samples and 0 outcomes>
China’s autonomous driving companies mull to build smarter cars,Global Times,2023-04-18,"Baidu, a Chinese technology with strong internet foundations, recently released a series of new products covering intelligent driving, intelligent cabins and intelligent maps, striking deeper collaboration between smart driving solutions and smart chipsets, which will further accelerate the smart manufacturing of China's automotive industry.The Black Sesame Semiconductor will become the latest chip partner to Baidu Apollo Smart Driving, said Baidu. Additionally, Apollo Highway Driving Pro will be deployed on the Black Sesame's Huashan II A1000 chip computing platform, which will be officially released in the third quarter of this year. China's auto industry is experiencing radical changes. Baidu predicts that by 2026, the market penetration rate of models equipped with the L2+ advanced intelligent driving solution, valet parking highway navigation pilot and city navigation pilot will exceed 15 percent, ushering in a transition period in intelligent vehicle industry. In addition, Baidu Apollo has upgraded its autonomous parking solution, which has a success rate of 99 percent in the top five most commonly faced parking scenarios. Besides, it only takes 28 seconds to complete perpendicular parking, drastically reducing the difficulty of parking for novice drivers.Earlier on April 11, Zhang Kai, chairman of Haomo.AI, said that the HPilot 3.0 system, which can provide urban assisted driving systems, will be launched this year.Zhang said the system has been equipped with nearly 20 models. The user-assisted driving mileage has already exceeded 40 million kilometers, and the average daily mileage utilization rate of HPilot2.0 assisted driving was 12.6 percent. In terms of overseas usage, vehicles equipped with HPilot system have been exported to the EU and Israel. At the same time, the Mexican version and the Russian version will be mass-produced, and will be launched in the Middle East, South Africa and Australia, according to Zhang. For autonomous driving companies, in addition to technical upgrades, the mass production of autonomous driving pre-installation has also become the main direction for each major company.In 2022, the pre-installation rate of high-level assisted driving of passenger cars in the Chinese market reached 29.40 percent, and 5,859,900 vehicles will be delivered with pre-installed standard equipment, according to Haomo.AI.Zhang said that by 2025, the rate of high-level assisted driving will exceed 70 percent, which means that starting from this year, smart driving products will have entered a period of rapid growth.Chinese electric vehicle start-up Xpeng announced in September of last year that it has launched the pilot program of City Navigation Guided Pilot (NGP), making it the first Chinese auto company to launch such high-level Advanced Driver Assistance System functions for complex urban driving scenarios.When City NGP is activated with a set destination, the vehicle itself can perform the full range of driving tasks such as cruising with a safe distance from leading vehicles, changing lanes due to navigation or vehicle overtaking decision and maintaining an appropriate speed throughout the driving route.China's autonomous vehicles market is projected to reach $98.89 billion by 2030. Self-driving cars could lead China's automotive industry into a position of global strength. From automated cargo trucks to driverless taxis, autonomous vehicles will change the nature of on-road driving and, in the process, revolutionize the mobility and automotive industries, according to researchandmarkets.com.Global Times",SOURCE,ECONOMY,"A man sits in an autonomous driving vehicle on a pilot road in Guangzhou, South China's Guangdong Province on March 1 of 2021. The city is promoting the development of intelligent connected vehicles and smart city construction. Photo: cnsphoto",Author details not found,Author details not found,28,485,<FreqDist with 15 samples and 310 outcomes>
Holocaust remembrance day marked in Jerusalem,Xinhua,2023-04-17," 

People visit Yad Vashem, Israel's official Holocaust memorial, in Jerusalem, on April 16, 2023. Israel's national annual Holocaust remembrance day will be marked on Monday and Tuesday. (Xinhua/Chen Junqing) 



People visit Yad Vashem, Israel's official Holocaust memorial, in Jerusalem, on April 16, 2023. Israel's national annual Holocaust remembrance day will be marked on Monday and Tuesday. (Xinhua/Chen Junqing) 



A man visits Yad Vashem, Israel's official Holocaust memorial, in Jerusalem, on April 16, 2023. Israel's national annual Holocaust remembrance day will be marked on Monday and Tuesday. (Xinhua/Chen Junqing)",PHOTO,WORLD,"A woman visits Yad Vashem, Israel's official Holocaust memorial, in Jerusalem, on April 16, 2023. Israel's national annual Holocaust remembrance day will be marked on Monday and Tuesday. (Xinhua/Chen Junqing)",Author details not found,Author details not found,6,79,<FreqDist with 7 samples and 60 outcomes>
Israel: China-Israel friendship forest co-planting activity,Author not found,2023-04-13,"Recently, the secretary of the Dingzhou Municipal Committee, and Yuval Waks, Deputy Ambassador of Israel to China, planted pomegranate trees and white pines together in Dingzhou, North China's Hebei Province, and unveiled the memorial stone of the ""China-Israel friendship forest.""""Although China and Israel are separated by thousands of miles, the friendship between the two peoples has a long history,"" Yuval said. ""[In 2022], we celebrated the 30th anniversary of the establishment of diplomatic relations between China and Israel, and over the last 30 years, with the joint efforts of the leaders and people of both countries, the relationship between China and Israel has developed healthily and steadily, and bilateral cooperation has been fruitful. I hope that this friendship forest rooted in Dingzhou will witness the everlasting friendship between China and Israel.""The two sides also held a book donation activity, and the Israeli Embassy in China donated book for Dingzhou.",IN-DEPTH,DIPLOMATIC CHANNEL,The Deputy Ambassador of Israel in China Yuval Waks delivers a speech at the friendship co-planting activity event. Photo: Courtesy of Embassy of Israel in China,Author details not found,Author details not found,5,147,<FreqDist with 13 samples and 86 outcomes>
"China reviews US cyber attack cases, saying US owes explanation over leaked Pentagon docs",Global Times,2023-04-12,"The US owes the international community an explanation over the leaked Pentagon documents as they clearly show that the US has long used its tech edge to conduct indiscriminate secret theft, surveillance and eavesdropping on countries in the world, including its allies, Chinese Foreign Ministry spokesperson Wang Wenbin said on Wednesday, reveals five typical cases of cyber attacks conducted by the US government.Wang's remarks came after the online leaking of a set of highly classified Pentagon documents in recent weeks, which have exposed the extent of US eavesdropping on key allies, including South Korea, Israel and Ukraine.These cases show once again that the US is the origin of cyber warfare, the biggest spreader of advanced cyber weapons and the biggest global cyber thief, said Wang after listing cases picked out of a report released by China Cybersecurity Industry Alliance on Tuesday.The report uncovered cyber attacks, surveillance and secret thefts carried out by US intelligence agencies.  According to Wang, In 2010, the US was found using the Stuxnet virus to attack Iran's nuclear facilities. This is the first case in history where a government launched cyber attacks against key infrastructure of other countries. In 2013, the media exposed that the US National Institute of Standards and Technology uses its cryptography standards to install backdoors, which expands the targets of supply chain attacks from IT products to IT standards.Wang also mentioned the ""PRISM incident"" in 2013, which revealed how the US engaged in cyber espionage across the world, including against China, the US' ""Project CAMBERDADA"" in 2015  which is aimed to intrude, divide and suppress foreign cybersecurity vendors and force them to dance to the tune of the US, and  the ransomware WannaCry that affected most countries and caused the most severe losses across the world in 2017, which was the result of leaked cyber weapons from the US National Security Agency.Despite this record of cyber attacks, Wang said the US has been citing digital security as an excuse to suppress Chinese companies without providing any evidence, and it even coerced its allies who were also victims of US espionage to join the gang.The so-called Clean Network and what the US calls ""technology that reflects democratic values and interests"" are just a pretext for it to unscrupulously conduct cyber thefts and attacks and ensure its supremacy. The US has been holding other countries to high standards, but clearly these standards mean little to the US itself. This is textbook double standards, Wang noted.Calling the leak of highly classified Pentagon documents ""another PRISM incident,"" Chinese experts on Tuesday said it gives a rare chance to glimpse into how the US spies on its allies, which will exacerbate the lack of strategic mutual trust between them and deal a heavy blow to Washington's strategy of maintaining global hegemony.",CHINA,DIPLOMACY,Chinese Foreign Ministry Spokesperson Wang Wenbin Photo: VCG,Author details not found,Author details not found,13,451,<FreqDist with 15 samples and 270 outcomes>
"Pentagon file leak ‘exacerbates lack of mutual trust between US and allies, a heavy blow to US hegemony’",Fan Anqi,2023-04-11,"Calling the leak of highly classified Pentagon documents ""another PRISM incident,"" Chinese experts on Tuesday said it gives a rare chance to glimpse into how the US spies on its allies, which will exacerbate the lack of strategic mutual trust between them and deal a heavy blow to Washington's strategy of maintaining global hegemony.A top Pentagon spokesperson said Monday that the leak of the files presents a ""very serious"" risk to US national security, which has deeply rattled US officials, who fear the revelations could ""jeopardize sensitive sources and compromise important foreign relationships,"" CNN reported.The classified files first began to appear on Discord in late February, and later spread to other social media sites, including Telegram and Twitter. It was not until The New York Times reported about the material on April 6 that Pentagon chief Lloyd Austin was briefed on the issue.Pentagon deputy press secretary Sabrina Singh noted on Sunday that the documents circulating on social media sites ""appear to contain sensitive and highly classified material."" In addition to highly detailed information that divulge key weaknesses of Ukraine at a critical point on the battlefield - Kiev's much-anticipated ""spring counteroffensive,"" some of the leaked documents are said to have exposed the extent of US eavesdropping on key allies, including South Korea, Israel and Ukraine.Ukraine has already altered some of its military plans because of the leak, a source close to Ukrainian President Volodymyr Zelensky said. A senior intelligence official called the leak ""a nightmare for the Five Eyes,"" in a reference to the US, UK, Australia, New Zealand and Canada, the so-called Five Eyes nations that broadly share intelligence, The New York Times reported.In an attempt to sooth anxious nerves, US State Department spokesperson Vedant Patel on Monday told reporters they are engaging with allies and partners at high levels over the matter, and are working on reassuring them of US' commitment to safeguarding intelligence and ""the fidelity"" of the partnerships.Experts said the leak could pose a profound and complicated impact on ties between US and its allies, especially on intelligence and security cooperation. Yang Xiyu, a senior research fellow at the China Institute of International Studies, told the Global Times on Tuesday that the incident will further add to dissatisfaction with the US among its allies, and most importantly, exacerbate the lack of strategic mutual trust between them. ""While knowing that their security interests are highly tied to that of the US, allies are coming to realize that the relationship with Washington is more of a domination and subordination. To satisfy its own selfish needs, the US is threatening the security of its allies through spying on their intelligence by any means necessary,"" Yang noted. Calling the leak ""another PRISM incident,"" Chinese military expert Song Zhongping noted that for one thing, it exposes a huge loophole in America's national security, and for another, it deals a significant blow to US intelligence authorities, which would become a major shortcoming that affects the cooperation with its allies. ""The distrust and disunity spurred by the incident is a heavy blow to the US' strategy of maintaining global hegemony. US hegemony will only decline day by day without the strategic support of its allies,"" Song told the Global Times. As the incident sends shockwaves across the White House, National Security Council spokesperson John Kirby said there are concerns there could be additional leaks. ""We don't know who is behind this. We don't know the motive. And we don't know what else is out there,"" he said, reported VOA. The leak of classified documents reveals the tearing of different voices and values within the US. Many are dissatisfied with Washington's policy that both harms the interests of its own and the common welfare of countries around the world, and such outrage over the government's abuse of power in overseas and domestic operations has accumulated to a point that eventually led to the leak, Li Haidong, a professor at the China Foreign Affairs University, told the Global Times on Tuesday.",CHINA,DIPLOMACY,"South Korean people protest outside the US Embassy in Seoul on April 11, 2023, after leaked documements show US has been spying on its major allies in Asia. Photo: VCG",Author details not found,Author details not found,22,656,<FreqDist with 16 samples and 386 outcomes>
"Leaked US, NATO documents on Ukraine’s military operation show ‘serious disunity within the West’",Yang Sheng,2023-04-09,"The recent leak of classified US and NATO documents on the Ukrainian military and Kiev's much-anticipated ""spring counteroffensive"" has exposed that disunity, distrust and divergences among the US, the West and Ukraine are serious and keep worsening, said Chinese experts. They noted that the incident further proves that Washington is the biggest obstacle for the international community to promote a cease-fire and peace talks for the ongoing Ukraine crisis.   According to US media, the US Department of Justice has opened an investigation into the leak that was posted on social media in recent weeks.CNN reported on Saturday that the investigation comes as new documents surfaced Friday covering everything from US support for Ukraine to information about key US allies like Israel, widening the fallout from the already alarming leak. The Pentagon on Thursday said it was looking into the matter after social media posts of apparently classified documents on the war in Ukraine had emerged.""They look real,"" a US official told CNN about the leaked documents. CNBC News also reported on Saturday that the documents that appeared online ""are likely real"" and ""the result of a leak,"" but that some of the documents may have been altered before they were posted, a senior US official said on Saturday.Mykhailo Podolyak, an adviser to Ukrainian President Volodymyr Zelensky said in a statement on Telegram that the leak is a ""Russian information operation"" and does not reveal Kiev's ""actual operational plans,"" the Financial Times reported on Sunday.A Chinese expert on international security and intelligence who asked for anonymity told the Global Times on Sunday that ""the leak is unlikely caused by Russian intelligence agencies, because this does not make sense."" If Russia has obtained these classified documents, it would not post them online, because this will make Russia lose the source or sources that had provided these documents, he said. He noted that there is no reason for Russia to let its enemies know that it has obtained this intelligence, because this will also make its enemies change plans, making the hard-won military intelligence useless. Song Zhongping, a Chinese military expert and TV commentator, said that the leaked documents expose ""many disadvantages and shortcomings of Ukrainian military forces. This is absolutely not good news for Ukraine.""The leak, the source of which remains unknown, reveals the US' assessment of a Ukrainian military that is itself in dire straits, The New York Times reported on Saturday. The leaked material, from late February and early March but found on social media sites in recent days, outlines ""critical shortages of air defense munitions"" and discusses ""the gains being made by Russian troops around the eastern city of Bakhmut."" Ukrainian presidential advisor Podolyak said the documents provided only a ""statistical analysis of supplies, possible operational and tactical plans, as well as a large volume of fictitious information.""Whether the leak is real or not, they have wrought damage on Kiev. Even if these documents contain fictitious information, they will damage the morale of the Ukrainian military and the confidence of Western countries in continuing to support Kiev to win the fight against Moscow. The response of the Ukrainian official shows that Kiev is nervous, and the US investigation proves the incident is very serious, said experts.The above-quoted anonymous expert said that it is still a question that who leaked these documents online, but based on the reactions of the relevant parties, it was probably caused by the disunity within the US. ""Democrats and Republicans have long-existing divergences on the price that Washington should pay for supporting Kiev to fight Moscow. Many US policymakers are losing faith to completely defeat Moscow, so they might want to use the leak to ruin the existing plan of supporting Ukraine and to decrease the US inputs in the new plan,"" he noted. If the old plan of a ""spring counteroffensive"" cannot be executed, and the inputs from the US decrease, this will further shake the determination of other NATO members in Europe to keep their support, said experts. In other words, disunity, divergence and distrust among the US, Ukraine and NATO have been exposed by the leak and will keep worsening, they noted.  Song said the incident will also damage ties between the US and its allies around the globe. Countries that have military cooperation with the US will be worried that the US is unable to keep their secrets and will even spy on them and leak their secrets to the media or online, Song noted. The New York Times reported on Saturday that the leaked intelligence reports seem to indicate that ""the United States is also spying on Ukraine's top military and political leaders, a reflection of Washington's struggle to get a clear view of Ukraine's fighting strategies.""""Just like the PRISM program leaked by Edward Snowden has proved, the US is spying on its allies, whether close or not, and this is how the US keeps its hegemony,"" Song told the Global Times on Sunday. ""More importantly, the US doubts Ukraine's determination to keep up the fight."" Washington hopes Kiev and its NATO allies to maintain the conflict at all costs and it wants an unrealistic and costly result - a complete defeat of Russia. But maybe Ukraine, after having suffered from huge amount of casualties without meaningful progress on the battlefield, wants to seek the possibility of a cease-fire and solve its problems with Russia via talks. This is why the US is spying on Ukraine, said experts, adding that it just once again proves that Washington is the biggest obstacle for a political and peaceful solution for the crisis.",CHINA,DIPLOMACY,US Ukraine crisis Illustration: Liu Rui/GT,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military.",32,924,<FreqDist with 16 samples and 518 outcomes>
"China calls on Israel, Palestine to observe restraint",Liu Xin,2023-04-07,"As the international community closely watches the latest developments in the Middle East after Israel bombed the Gaza Strip and Lebanon in retaliation for several dozen rockets fired from both territories, China on Friday urged all parties, especially Israel, to observe restraint and avoid taking any actions that could further aggravate the tense situation, and also called on influential countries to take due responsibility. It is a pity to see the Israel-Palestine situation deteriorating while many regional countries are working to embrace a trend of reconciliation, analysts said, noting that China's proposals on global security, which has yielded results in promoting regional peace, will continue to play a constructive role. On Friday, Israel's military launched air attacks on southern Lebanon and the Gaza Strip in response to a spate of rocket attacks in Israel. The escalation in tensions comes after Israeli forces stormed the Al-Aqsa Mosque in occupied East Jerusalem on successive days, triggering violent confrontations with Palestinians inside and causing anger across the region, media reported.After the latest round of hostilities between Israel and Lebanon, Israeli forces continued to break up Palestinian worshippers who wanted to visit the Al-Aqsa Mosque, while a shooting attack in the occupied West Bank killed two Israeli women. Passover and Ramadan both fall in April this year. More people are worried that the latest clashes could ignite a powder keg in the region and block the road to peace and stability.  Fire and smoke are seen following an Israeli airstrike in the southern Gaza Strip city of Khan Younis on April 7, 2023. Israel on Friday intensified airstrikes on military posts in the Gaza Strip and Lebanon, in response to rockets fired from the areas at several parts in Israel, escalating tensions with Palestine over the past three days after Israeli police forcibly expelled Palestinian worshippers from the Al-Aqsa Mosque in East Jerusalem. Photo:XinhuaOn Friday morning, China's Special Envoy on the Middle East Issue Zhai Jun had a group meeting with diplomatic envoys of Arab countries upon request, during which he urged all sides to act in accordance with the relevant UN resolutions, and earnestly respect and maintain the historical status quo of the holy sites in Jerusalem, Chinese Foreign Ministry spokesperson Mao Ning said on Friday.The Chinese envoy noted that the fundamental way to resolve the conflict between Palestine and Israel is the implementation of the two-state solution and the establishment of an independent state of Palestine. The international community needs to act with a stronger sense of urgency, heed the legitimate concerns of Palestine and take real steps to fulfill the pledge to the Palestinian people, he said.China has actively responded to the call of regional states and asked the UN Security Council to hold emergency consultations on the Israel-Palestine situation together with countries including the UAE, and make active efforts for de-escalation. China has also been in close communication with the relevant parties in the international community to facilitate peace talks, said Zhai.The current escalation took place against the backdrop of the Muslim holy month of Ramadan and right-wing forces in Israel pushing for tougher policies toward Palestine. Also, the US' partiality toward Israel leads to an imbalance between Israel and Palestine, making it harder to mediate the conflict, Sun Degang, director of the Center for Middle Eastern Studies at Fudan University, told the Global Times on Friday.While the trend toward reconciliation has been advanced among Gulf countries in the Middle East, it is a pity to see there are no signs of improvement in the Israel-Palestine issue, with the situation in some areas getting even worse, Sun said.The international community, including China, has called for the parties concerned to discuss the issue on multilateral platforms. On Wednesday, UN Middle East envoy Tor Wennesland appealed for Israeli and Palestinian leaders to exercise restraint following the latest violence.  Sun noted that the current predicament for Israel and Palestine highlighted the fact that traditional views on security are at a dead end and related countries should get rid of their zero-sum mentality. One country should not defend its security by violating another country's security, he added.China's proposal and role on promoting a solution to the Israel-Palestine issue is important, as it has never picked sides nor sought to fill a vacuum of any country in the region or cultivate a proxy, which is why China was able to successfully mediate the restoration of diplomatic relations between Saudi Arabia and Iran, said Sun.Saudi Arabia and Iran announced the resumption of diplomatic ties in Beijing after the first formal meeting between the two countries' top diplomats in more than seven years.China's remarkable mediation between the two countries over the past month showed that its diplomatic philosophy and Chinese proposals on global security and heated issues have gained more recognition worldwide, observers said.Sun said that the reconciliation trend in the Middle East is precious and fragile at the same time, which needs all parties and the international community to work in the same direction. As China's proposal on global security has seen results in the Gulf region, it will continue to play an active role in promoting negotiations on regional issues, including the Israel-Palestine issue, Sun added.",CHINA,DIPLOMACY,"China's Special Envoy on the Middle East Issue Zhai Jun has a group meeting with diplomatic envoys in China of Arab countries upon request on April 7, 2023. Photo: Chinese Foreign Ministry","Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy.",26,838,<FreqDist with 18 samples and 507 outcomes>
Tensions mounting in Gaza after Israel intensifies airstrikes,Xinhua,2023-04-07,"Israel on Friday intensified airstrikes on military posts in the Gaza Strip and Lebanon, in response to rockets fired from the areas at several parts in Israel, escalating tensions with Palestine over the past three days after Israeli police forcibly expelled Palestinian worshippers from the Al-Aqsa Mosque in East Jerusalem.Hamas security sources said that Israeli reconnaissance drones and fighter jets launched dozens of airstrikes on military posts and facilities that belong to the Al-Qassam Brigades, Hamas' armed wing.Palestinian residents told Xinhua that they heard the buzz of the fighter jets and drones hovering over the Hamas-controlled Gaza Strip and that bombings were heard all over the coastal enclave.Medical sources in Gaza said that no injuries were immediately reported and hospitals and clinics have declared a state of emergency and readiness to receive possible casualties.The Al-Qassam Brigades and other minor militant groups said in separate statements that their militants fired anti-craft missiles at the Israeli jets that hovered over the Gaza Strip.The joint Palestinian chamber of operations, which comprises several armed wings of Palestinian factions, including Hamas and the Islamic Jihad, said earlier that their militants ""are ready to confront any Israeli attack.""""In light of the enemy's threats to our resistance and our people in Gaza, we affirm our readiness to confront and respond with all force to any aggression and to defend our people in all places of its presence and our sanctities,"" it said in a statement.Meanwhile, an Israeli army spokesman said in a press statement that sirens were turned on in southern Israel after barrages of projectiles and rockets were fired from the Gaza Strip and that Israeli fighter jets bombed several Hamas posts and facilities in the southern, central, western and northern Gaza Strip.""The Israel Defense Forces (IDF) attacked tonight, using a remotely manned aircraft, a heavy launcher from which missiles were fired at IDF aircraft and Israeli territory,"" said the spokesman.The Israeli army on Friday confirmed that the country's air force struck southern Lebanon as Israel accused Hamas and other militant groups of being responsible for firing dozens of rockets from south Lebanon at northern Israel.The Israeli military warned that it will not permit Hamas, which runs the Gaza Strip and has a smaller presence in the Israeli-occupied West Bank, to operate from within Lebanon, and that it ""holds the state of Lebanon responsible for every directed fire emanating from its territory.""The Israeli airstrikes began as Prime Minister Benjamin Netanyahu was convening his Security Cabinet to discuss possible military responses to over 30 rockets that militants in Lebanon fired on Thursday afternoon at northern Israel.The latest escalation, which came during a sensitive holiday time as Muslims were observing the holy month of Ramadan with prayers at the Al-Aqsa Mosque compound and Jews were commemorating the Passover holiday, was triggered after Israeli had raided at the Al-Aqsa Mosque compound, the third holiest site to Muslims for two consecutive days, firing gas canisters and stun grenades at worshipers.Earlier this week, militants in Gaza fired about 20 rockets at southern Israel in a response to Israeli raids at the Al-Aqsa Mosque compound.A man checks damages caused by an Israeli airstrike in Gaza City April 7, 2023. Israel on Friday intensified airstrikes on military posts in the Gaza Strip and Lebanon, in response to rockets fired from the areas at several parts in Israel, escalating tensions with Palestine over the past three days after Israeli police forcibly expelled Palestinian worshippers from the Al-Aqsa Mosque in East Jerusalem. Photo:XinhuaA man checks damages caused by an Israeli airstrike in Gaza City April 7, 2023. Israel on Friday intensified airstrikes on military posts in the Gaza Strip and Lebanon, in response to rockets fired from the areas at several parts in Israel, escalating tensions with Palestine over the past three days after Israeli police forcibly expelled Palestinian worshippers from the Al-Aqsa Mosque in East Jerusalem. Photo:Xinhua",PHOTO,WORLD,"Fire and smoke are seen following an Israeli airstrike in the southern Gaza Strip city of Khan Younis on April 7, 2023. Israel on Friday intensified airstrikes on military posts in the Gaza Strip and Lebanon, in response to rockets fired from the areas at several parts in Israel, escalating tensions with Palestine over the past three days after Israeli police forcibly expelled Palestinian worshippers from the Al-Aqsa Mosque in East Jerusalem. Photo:Xinhua",Author details not found,Author details not found,18,620,<FreqDist with 19 samples and 375 outcomes>
