Unnamed: 0,article_title,author,published_time,article_text,article_category_one,article_category_two,picture_description,author_title,author_description,NER
222,Can US’ balancing strategy last after Ukraine crisis?,Ding Gang,2022-02-23,"On February 21, 1972, US President Richard Nixon came to Beijing to begin a ""world-changing"" visit. He became the first sitting US president to visit China.On February 28, China and the US issued the Shanghai Joint Communiqué, which laid the foundation for the subsequent development of US-China relations.Twenty years ago, in February 2002, I interviewed Dr Kissinger in New York. Over the past two days, I have gone over my notes from that interview and have been filled with emotion.The China-US relationship seems to have gone through a strange circle, from breaking the ice in 1972, to steadily rising to a warm point in 2002, and then beginning to freeze again.The world is also in the midst of dramatic change. From Chairman Mao Zedong's handshake with President Nixon, to former President Donald Trump's ""decoupling"" with, to China-Russia back-to-back partnership today, and the outbreak of the Ukraine crisis, great powers are beginning to reorganize.I clearly remember Dr Kissinger telling me at the time that the breakthrough in the Shanghai Communiqué was largely due to a mutual recognition that establishing direct contacts was possible and in the interest of both sides.Kissinger said President Nixon made the goal of establishing diplomatic relations with China an integral part of his international strategy as soon as he took office. The China side had the same consideration.According to Kissinger, there were also concerns on the China side at the time about the threat from the Soviet Union. Those were the two bases on which the Shanghai Communiqué made its breakthrough. The basic spirit of the communiqué, in his view, was to establish a direct cooperative relationship between the US and China.The two foundations Dr Kissinger spoke of reflect his idea of a balanced strategy. The central idea of his book World Order was that a balance of power based on the Peace of Westphalia was the key to avoiding war and building peace.This idea of strategic balance still influences US's global strategy today, and the adjustment of US policy toward China clearly comes from this idea.In recent years, some in US have insisted that the US-China relationship is headed for a breakdown because China has adopted a more aggressive strategy of foreign expansion, undermining the order that the US has worked on for years to establish in the Asia-Pacific region and is upsetting the global balance of power.Some US scholars also cited Kissinger's advice before Nixon's visit to China 50 years ago.According to declassified documents, Kissinger told Nixon at the time that the US should ""play the balance of power game without any emotion.""Kissinger also predicted that in 20 years, China would be ""even more powerful"" and reminded the US president at that time to consider how to rely on Russia to keep China down.Such a balance of power game is to create a US-led structure to balance the relationship between global powers. Essentially it is not about trying to cooperate with the other side, but to ensure that the US can suppress and dismantle the other side in order to achieve US hegemony. Such a balancing structure will eventually force many small and medium-sized countries to choose sides. The crisis in Ukraine, which has gone so far, is a typical example.However, after China's peaceful rise, such a balancing strategy has become increasingly difficult to achieve. China and the US have become increasingly interdependent over the course of the past 50 years, and it is clear that their relationship is no longer tempered by equilibrium. Any forces that US would like to leverage to reorganize the so-called balance will hardly stop China's continued development.Fifty years ago, the US-China relationship made a breakthrough because of the US balancing strategy, and now, 50 years later, the relationship is beginning to ""decouple."" This is because, in US's balanced strategy, it has never seen itself as a party that can be on an equal footing with its so-called rivals, but always calculating how to prevent other countries from challenging its hegemonic position.The author is a senior editor with People's Daily, and currently a senior fellow with the Chongyang Institute for Financial Studies at Renmin University of China. dinggang@globaltimes.com.cn. Follow him on Twitter @dinggangchina",OPINION,COLUMNISTS,An exhibition on US President Richard Nixon's visit to China Photo: cnsphoto,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies.","{'US': ('LOC', 12), 'Beijing': ('LOC', 1), 'China': ('LOC', 12), 'New York': ('LOC', 1), 'Russia': ('LOC', 1), 'Ukraine': ('LOC', 1), 'Soviet Union': ('LOC', 1), 'World': ('LOC', 1), 'Westphalia': ('LOC', 1), 'Asia': ('LOC', 1), 'Pacific': ('LOC', 1), 'Richard Nixon': ('PER', 3), 'Kissinger': ('PER', 6), 'Mao Zedong': ('PER', 1), 'Donald Trump': ('PER', 1), 'Shanghai Joint Communiqué': ('MISC', 1), 'Shanghai Communiqué': ('MISC', 2)}"
223,"All sides should give Russia, Ukraine some space to resolve issue: Global Times editorial",Global Times,2022-02-23,"Russia President Vladimir Putin on Monday signed two decrees recognizing ""the Lugansk (LPR)"" and ""the Donetsk (DPR)"" as independent and sovereign states. Ukraine decided to recall its charge d'affairs in Russia and will reconsider its diplomatic relations with Russia. The sudden change in the Ukraine situation has aroused great concern around the world. In this regard, China State Councilor and Foreign Minister Wang Yi said on Tuesday that the legitimate security concerns of any country must be respected, and the purposes and principles of the UN Charter must be upheld. He said China once again called on all parties to exercise restraint, appreciate the importance of implementing the principle of indivisible security, and de-escalate the situation and resolve differences through dialogue and negotiations.It should be noted that it is very regrettable that the Ukraine issue has evolved so far. The US has continued its intensive containment on Russia, which finally forced Russia to try to realize its security demands in such a way. This is the outburst of the dissatisfaction of the party whose security demands have been ignored for a long time since the end of the Cold War. The situation in Ukraine is deteriorating. At this time, the international community cannot discard its efforts for peace and to avoid further escalating the situation.The prospect of the situation between Russia and Ukraine remains highly uncertain. The US and West countries immediately condemned Russia's move. The White House officials said further ""coordinated"" sanctions directed at Russia would be announced on Tuesday. UN Secretary-General António Guterres said Russia's decision is ""a violation of the territorial integrity and sovereignty of Ukraine and inconsistent with the principles of the Charter of the UN."" He called for addressing ""all issues peacefully."" Many countries said they should not give up diplomatic means to peacefully solve the problem and underlined that ""constructive diplomacy is the need of the hour.""The Russia-Ukraine crisis is a dual crisis, in which bilateral conflicts between Russia and Ukraine are intertwined with the strategic suppression that NATO's eastward expansion has brought to Russia. All relevant parties have put forward their own security demands before. Although no consensus was reached, that doesn't necessarily mean a complete breakup of negotiations. It hasn't reached the point that the issue must be solved by war. Whether the situation will further escalate next mainly depends on the scale of the US sanctions imposed on Russia and whether Russia will be provoked to take more aggressive measures.Peace and no war is in the biggest and common interests of all countries in the EU continent. In this sense, only by achieving a soft landing for the Russia-Ukraine crisis can EU realize peace. True security should be inalienable, common, integrated, cooperative and sustainable. This means all sides' security interests should be respected and safeguarded, and if any party's security concerns are ignored or even trampled on, geopolitical disputes will continue and never cease. The knot must be untied by the one who tied it. Russia and Ukraine need to have face-to-face dialogues. The US and NATO should be pulled back from the Russia-Ukraine crisis as much as possible and there should be no more complicated elements added to influence the situation.In particular, at a time when the situation is uncertain, all sides should leave some space for Russia and Ukraine to solve the problems. Confrontation, sanctions, or even a direct battle will not help ease tensions. The flames scattered in eastern Ukraine are reminding all parties of the fact that blindly imposing pressure will only lead to an escalation of conflicts. What is most needed there are restraints and rationality, as well as constructive efforts of the international community.   China has no self-interest in the Ukraine issue. It has always upheld a fair and responsible attitude and will decide its own position based on the merits of the matter itself. Although all parties have different views on the Ukraine crisis, the top priority now is to avoid any actions that could intensify tensions. The international community should reach such a consensus as soon as possible. The development of the Ukraine situation is the result of a series of complex factors. Now that it has come to the brink of a cliff, all parties should work together to pull it back.",OPINION,EDITORIAL,"United Nations Security Council meets after Russia recognized two breakaway regions in eastern Ukraine as independent entities, in New York City on Monday. Photo: IC",Author details not found,Author details not found,"{'Russia': ('LOC', 14), 'Lugansk': ('LOC', 1), 'Donetsk': ('LOC', 1), 'Ukraine': ('LOC', 8), 'China': ('LOC', 2), 'US': ('LOC', 3), 'West': ('LOC', 1), 'White House': ('LOC', 1), 'Vladimir Putin': ('PER', 1), 'Wang Yi': ('PER', 1), 'António Guterres': ('PER', 1), 'LPR': ('ORG', 1), 'DPR': ('ORG', 1), 'Council': ('ORG', 1), 'UN': ('ORG', 3), 'NATO': ('ORG', 1), 'Charter': ('MISC', 2), 'Cold War': ('MISC', 1)}"
224,Ukrainian president expects no conflict with Russia,Xinhua,2022-02-23," Ukraine President Volodymyr Zelensky said on Tuesday that he expects no conflict with Russia.""We believe that there will be no large-scale war against Ukraine, and there won't be a wide escalation from the side of Russia,"" Volodymyr Zelensky said, adding that Kiev stands ready to impose a martial law if there is aggression against Ukraine.Earlier in the day, Volodymyr Zelensky said that he was weighing a request from the foreign ministry to sever diplomatic ties with Russia.Russia President Vladimir Putin on Monday signed two decrees recognizing ""the Lugansk (LPR)"" and ""the Donetsk (DPR)"" as independent and sovereign states.At a ceremony held in the Kremlin, Vladimir Putin also inked the treaty of friendship, cooperation and mutual assistance between Russia and the LPR and the DPR respectively with the heads of the two ""republics,"" a Kremlin statement said.",WORLD,EUROPE,"Ukrainian President Volodymyr Zelensky attends a press conference devoted to his two years in office in Kiev, Ukraine, May 20, 2021. Zelensky believes a meeting with Russian President Vladimir Putin would help to put an end to the seven-year-conflict in Donbass, the Ukrainian president's press service reported on Thursday.(Photo: Xinhua)",Author details not found,Author details not found,"{'Ukraine': ('LOC', 3), 'Russia': ('LOC', 5), 'Kiev': ('LOC', 1), 'Lugansk': ('LOC', 1), 'Donetsk': ('LOC', 1), 'DPR': ('LOC', 2), 'Kremlin': ('LOC', 2), 'Volodymyr Zelensky': ('PER', 3), 'Vladimir Putin': ('PER', 2), 'LPR': ('ORG', 2)}"
225,British PM announces sanctions against Russia over Ukraine,Xinhua,2022-02-23," UK Prime Minister Boris Johnson announced on Tuesday a range of sanctions against Russia in response to the latest development in Ukraine.Boris Johnson told the House of Commons that Russia President Vladimir Putin had violated the Minsk agreements by recognizing the ""Lugansk"" and the ""Donetsk"" as independent and sovereign states.Announcing the sanctions, Boris Johnson said that UK would sanction five Russia banks and three very high net worth individuals.""Any assets they hold in the UK will be frozen, the individuals concerned will be banned from traveling here, and we will prohibit all UK individuals and entities from having any dealings with them,"" he said, adding that this is the ""first tranche, the first barrage, of what we are prepared to do alongside the US and the EU if the situation escalates still further.""Russia has vowed to retaliate if new sanctions are imposed. Vladimir Putin said on Monday he was aware that the West was trying to ""blackmail"" Russia again with sanctions, but said he believed that sanctions would continue just because Russia exists, regardless of the situation in Ukraine.Boris Johnson said UK would not give up on seeking a diplomatic resolution to the situation in Ukraine.",WORLD,EUROPE,British Prime Minister Boris Johnson Photo: VCG,Author details not found,Author details not found,"{'UK': ('LOC', 5), 'Russia': ('LOC', 6), 'Ukraine': ('LOC', 3), 'Minsk': ('LOC', 1), 'Lugansk': ('LOC', 1), 'Donetsk': ('LOC', 1), 'US': ('LOC', 1), 'West': ('LOC', 1), 'Boris Johnson': ('PER', 4), 'Vladimir Putin': ('PER', 2), 'House of Commons': ('ORG', 1), 'EU': ('ORG', 1)}"
226,NATO chief urges Russia to choose diplomacy in Ukraine crisis,Xinhua,2022-02-23," The chief of the NATO (NATO) has urged Russia to ""choose the path of diplomacy"" in the conflict with Ukraine.""This is the most dangerous moment in EU security for a generation,"" NATO Secretary General Jens Stoltenberg said at the conclusion of an extraordinary meeting of the NATO-Ukraine Commission here on Tuesday.""EU and North US continue to stand strong together in NATO, committed to defend and protect each other,"" he said.He said NATO put its Response Force on higher readiness several weeks ago and has 100 jets on high alert and 120 ships at sea.However, he stressed that it was not late to choose the path of diplomacy rather than attack as he called on Russia to engage in talks to find a political solution to the conflict.He welcomed the economic sanctions announced by many NATO allies and the decision by the Germany government that it cannot certify the Nord Stream 2 pipeline.Stoltenberg also said that Russia forces continue to prepare for a potential attack on Ukraine after Moscow recognized two separatist regions as independent.Russia President Vladimir Putin on Monday signed two decrees recognizing the ""Lugansk (LPR)"" and the ""Donetsk (DPR)"" as independent and sovereign states.The EU security crisis was caused by NATO's eastward expansion, which has led to the loss of mutual trust, Vladimir Putin said on Monday.He said it was just for NATO to accept Ukraine as a member state and then build facilities on its territory, which would dramatically raise the level of military threats to Russia.",WORLD,EUROPE,"NATO Secretary General Jens Stoltenberg speaks to the media following an extraordinary meeting of the NATO-Ukraine Commission at NATO headquarters in Brussels, Belgium, on Feb. 22, 2022. The chief of the North Atlantic Treaty Organization (NATO) has urged Russia to ""choose the path of diplomacy"" in the conflict with Ukraine.(Photo: Xinhua)",Author details not found,Author details not found,"{'NATO': ('ORG', 8), 'EU': ('ORG', 3), 'NATO - Ukraine Commission': ('ORG', 9), 'Response Force': ('ORG', 1), 'LPR': ('ORG', 1), 'Russia': ('LOC', 5), 'Ukraine': ('LOC', 3), 'North US': ('LOC', 1), 'Germany': ('LOC', 1), 'Moscow': ('LOC', 1), 'Lugansk': ('LOC', 1), 'Donetsk': ('LOC', 1), 'DPR': ('LOC', 1), 'Jens Stoltenberg': ('PER', 2), 'Vladimir Putin': ('PER', 2), 'Nord Stream 2': ('MISC', 1)}"
227,"EU agrees Russia sanctions package, warns of further action",Xinhua,2022-02-23," The EU (EU) is ready to take further action against Russia if it continues to escalate the crisis, EU Commission President Ursula von der Leyen warned here on Tuesday.In a statement, von der Leyen said EU member states had given their political consent to a new package of sanctions against Russia following its recognition of the independence of the Ukraine regions of Donetsk and Luhansk.The package contains a number of ""calibrated measures"" targeting banks that finance the Russia military apparatus and contribute to the destabilization of Ukraine.It also bans trade between the two breakaway regions and the EU, as it did with Crimea in 2014, and limits the Russia government's ability to raise capital on the EU's financial markets.Russia President Vladimir Putin on Monday evening signed decrees recognizing the independence of two self-proclaimed regions in eastern Ukraine's Donbass as ""the Lugansk (LPR)"" and ""the Donetsk (DPR).""Russia has done everything to preserve the territorial integrity of Ukraine by fighting for the implementation of 2015 Minsk agreement, but all the efforts ended up in vain, Vladimir Putin said on Monday.The security crisis occurred due to NATO's eastward expansion, which has led to the loss of mutual trust with Russia, he noted.According to Josep Borrell, EU's High Representative for Foreign Affairs and Security Policy, the package comprises sanctions against 351 members of the Russia State Duma (lower house of the country's Federal Assembly) who voted to recognize the two regions.The EU will also ""target 27 individuals and entities who are playing a role in undermining or threatening Ukraine's territorial integrity, sovereignty and independence,"" he said.Furthermore, the sanctions aim to target the Russia state's ability to access the EU's capital and financial markets and services.""If Russia continues to escalate this crisis that it has created, we are ready to take further action in response,"" von der Leyen said.On the controversial Russia-Germany Nord Stream 2 gas pipeline, von der Leyen said she believed that the Germany government was ""absolutely right"" to stop the project, which must be assessed in light of the security of energy supply for all of EU.""This crisis shows that EU is still too dependent on Russia gas. We have to diversify our suppliers and massively invest in renewables. This is a strategic investment in our energy independence,"" she said.The conflict in eastern Ukraine began in April 2014 with fightings between the Ukraine government troops and local armed groups who seized several towns.With the mediation of the global community, the two sides in Belarus' capital of Minsk reached ceasefire agreements in September 2014 and February 2015 respectively.Russia has been seeking NATO's guarantee to halt eastward expansion. However, U.S. President Joe Biden's administration took a hard line against Russia, supporting Ukraine's efforts to join the U.S.-led military alliance and increasing its military assistance to Ukraine, which has re-escalated tensions in the region.The situation in eastern Ukraine has been getting worse since Feb. 17, as the Ukraine government and local armed groups blamed each other for launching aggressive bombards.",WORLD,EUROPE,"European Commission President Ursula von der Leyen makes a statement on the Ukraine issue in Brussels, Belgium, on Feb. 22, 2022. The European Union (EU) is ready to take further action against Russia if it continues to escalate the crisis, von der Leyen warned here on Tuesday.(Photo: Xinhua)",Author details not found,Author details not found,"{'EU': ('ORG', 10), 'EU Commission': ('ORG', 11), 'NATO': ('ORG', 1), 'Policy': ('ORG', 1), 'State Duma': ('ORG', 1), 'Federal Assembly': ('ORG', 1), 'Russia': ('LOC', 12), 'Ukraine': ('LOC', 5), 'Donetsk': ('LOC', 2), 'Luhansk': ('LOC', 1), 'Crimea': ('LOC', 1), 'Donbass': ('LOC', 1), 'Lugansk': ('LOC', 1), 'LPR': ('LOC', 1), 'DPR': ('LOC', 1), 'Minsk': ('LOC', 1), 'Germany': ('LOC', 2), 'Ursula von der Leyen': ('PER', 1), 'von der Leyen': ('PER', 1), 'Vladimir Putin': ('PER', 2), 'Josep Borrell': ('PER', 1)}"
228,Russia's upper house approves use of military abroad,Xinhua,2022-02-23," Russia, or the upper house of parliament, on Tuesday approved Russia President Vladimir Putin's request for the use of military abroad.""Senators unanimously supported the adoption of the relevant Resolution,"" said a statement published on the website of the Federation Council.Vladimir Putin on Tuesday submitted a proposal that the Federation Council approve a resolution authorizing the use of the Armed Forces of Russia abroad on the basis of the generally accepted principles and norms of international law, according to the Kremlin.Earlier in the day, Russia's State Duma, the lower house of parliament, ratified the treaties on friendship, cooperation and mutual assistance with ""the Lugansk (LPR)"" and ""the Donetsk (DPR)"" during a plenary session.Vladimir Putin inked the treaties on Monday, together with the heads of the LPR and DPR. The president also signed two decrees recognizing the LPR and the DPR as independent and sovereign states on Monday.Ukraine President Volodymyr Zelensky said early Tuesday that Kiev has been urging the international community to hold emergency talks over Russia's decision on the status of Donetsk and Lugansk regions in eastern Ukraine.",WORLD,EUROPE,"Russian President Vladimir Putin signs documents recognizing ""the Donetsk and Lugansk People's Republics"" at the Kremlin in Moscow on Feb. 21, 2022.(Photo: Xinhua)",Author details not found,Author details not found,"{'Russia': ('LOC', 5), 'Kremlin': ('LOC', 1), 'Lugansk': ('LOC', 2), 'Donetsk': ('LOC', 2), 'Ukraine': ('LOC', 2), 'Kiev': ('LOC', 1), 'Vladimir Putin': ('PER', 3), 'Volodymyr Zelensky': ('PER', 1), 'Resolution': ('MISC', 1), 'Federation Council': ('ORG', 2), 'Armed Forces of': ('ORG', 1), 'State Duma': ('ORG', 1), 'LPR': ('ORG', 3), 'DPR': ('ORG', 3)}"
229,"US sanctions Russia after Putin sends troops to Lugansk, Donetsk",Xinhua,2022-02-23," U.S. President Joe Biden on Tuesday announced ""the first tranche"" of sanctions against Russia after Moscow deployed troops in the Lugansk and Donetsk regions.Russia President Vladimir Putin on Monday signed two decrees, recognizing ""the Lugansk"" and ""the Donetsk"" as ""independent and sovereign"" states, and later ordered troops to enter the regions to conduct peacekeeping operations.Lugansk and Donetsk declared independence following a vote during the height of armed conflict with Kiev in 2014. Ukraine refused to recognize their self-proclaimed status.Calling Russia's move ""the beginning of a Russia invasion of Ukraine,"" Joe Biden said in remarks delivered from the White House that his administration will impose sanctions on two Russia financial institutions - the VEB and the country's military bank -- as well as on Russia's sovereign debt and three individuals.He explained that the measure ""means we've cut off Russia's government from West financing. It can no longer raise money from the West and cannot trade in its new debt on our markets or EU markets either.""Joe Biden also mentioned the suspension of the Nord Stream 2 natural gas pipeline project between Russia and Germany, which Berlin announced earlier in the day. Additional sanctions will be followed if the situation escalates, he said.The president also announced movements of U.S. troops to the three Baltic states of Estonia, Latvia and Lithuania, all of which are members of the NATO (NATO) and share borders with Russia.Joe Biden said that the US has ""no intention of fighting Russia"" but will ""abide by"" its commitments to NATO.Following Moscow's recognition of Lugansk and Donetsk, Joe Biden signed an executive order on Monday banning US from doing businesses in the two regions.On Tuesday, U.S. Secretary of State Antony Blinken called off a meeting with Russia Foreign Minister Sergey Lavrov scheduled for Thursday.During a joint press briefing at the State Department with Ukraine Foreign Minister Dmytro Kuleba, Antony Blinken said it makes little sense to hold a meeting with Lavrov following the Russia moves.",WORLD,AMERICAS,"U.S. President Joe Biden walks out from the South Portico of the White House in Washington, D.C. Jan. 21, 2022.(Photo: Xinhua)",Author details not found,Author details not found,"{'U': ('LOC', 3), 'S': ('LOC', 3), 'Russia': ('LOC', 12), 'Moscow': ('LOC', 2), 'Lugansk': ('LOC', 4), 'Donetsk': ('LOC', 4), 'Kiev': ('LOC', 1), 'Ukraine': ('LOC', 3), 'White House': ('LOC', 1), 'West': ('LOC', 2), 'Germany': ('LOC', 1), 'Berlin': ('LOC', 1), 'Estonia': ('LOC', 1), 'Latvia': ('LOC', 1), 'Lithuania': ('LOC', 1), 'US': ('LOC', 2), 'Joe Biden': ('PER', 5), 'Vladimir Putin': ('PER', 1), 'Antony Blinken': ('PER', 1), 'Sergey Larov': ('PER', 2), 'Dmytro Ku': ('PER', 1), 'Antony Blink': ('PER', 1), 'VEB': ('ORG', 1), 'EU': ('ORG', 1), 'NATO': ('ORG', 3), 'Department': ('ORG', 1), 'Nord Stream 2': ('MISC', 1), 'Baltic': ('MISC', 1)}"
230,DPP's so-called sympathy for Ukraine 'self-serving': spokesperson,Global Times,2022-02-23,"The secessionist DPP authority's so-called ""sympathy"" for Ukraine's situation is 'self-serving,' Ma Xiaoguang, spokesperson for the Taiwan Affairs Office of the State Council, commented on Wednesday.The DPP authority has been playing along the US and West rhetoric and exploiting the Ukraine issue to maliciously hype the so-called ""military coercion"" from the China mainland, behind which hides their evil intentions of ""internationalizing"" the Taiwan question and inciting ""anti-China"" sentiments on the island, Ma said.Ma said it is entirely a political manipulation by the DPP for its own selfish interests.The spokesperson reiterated that the island of Taiwan is an inalienable part of China, and that the Taiwan question is purely China's domestic affair.Ma stressed that the DPP authority and the secessionists on the island colliding with external forces are the root cause of the tension across the Taiwan Straits.All the necessary actions Beijing has taken to safeguard China's national sovereignty and territorial integrity are aimed at stopping secessionist activities and interference by external forces, with the purpose of fundamentally safeguarding the vital interests of the compatriots on both sides of the Taiwan Strait and the overall interests of the China people, Ma said.Global Times",CHINA,SOCIETY,Tsai Ing-wen Photo:AFP,Author details not found,Author details not found,"{'DPP': ('ORG', 4), 'Taiwan Affairs Office': ('ORG', 1), 'State Council': ('ORG', 1), 'Global Times': ('ORG', 1), 'Ukraine': ('LOC', 2), 'US': ('LOC', 1), 'West': ('LOC', 1), 'China': ('LOC', 6), 'Taiwan': ('LOC', 3), 'Taiwan Straits': ('LOC', 4), 'Beijing': ('LOC', 1), 'Taiwan Strait': ('LOC', 4), 'Ma Xiaoguang': ('PER', 5), 'anti': ('MISC', 1)}"
231,"US hardly leads the West out of helplessness, but is in fact the cause",Zhao Minghao,2022-02-23,"The Munich Security Conference 2022 was held under the shadow of multiple challenges including the Ukraine crisis. The Munich Security Index 2022 shows perceptions of risk that pervade the societies of G7 countries due to COVID-19 pandemic, geopolitical tensions, domestic political polarization, and rising inequality. As the Munich Security Report 2022 points out, many West people believe that they are living in a ""new era of successive and interconnected disruptions,"" and there is a growing ""collective helplessness.""Such helplessness comes from domestic political dysfunction. Economic inequality, ethnic tensions, and intergenerational conflicts are old problems that become even worse in a polarized political environment. The stagnation of political reforms has largely contributed to ""crisis fatigue"" within the G7 countries mentioned in the Munich Security Report 2022. People feel less confident in their governments. According to a recent NBC News poll, only 22 percent answered that things are ""headed in the right direction.""The trend toward the retreat of democracy continues, warned Wolfgang Ischinger, chairman of the Munich Security Conference. The ""illiberal movement"" within the West is worsening, and there are challenges like populism and neo-fascism. US leadership in the West has been damaged due to its domestic illiberal movement. During the Joe Biden presidency, the US is more divided under the crisis of democracy. Helplessness stems from the external challenges West countries face, which are often self-imposed. NATO enlargement and the EU's expansion eastward are the key factors influencing Russia's strong responses to the Ukraine crisis, according to John Mearsheimer, professor at the University of Chicago. He pointed out that the Ukraine crisis is the West's fault as the West had been moving into Russia's backyard and threatening its core strategic interests. Indeed, Ukraine has the right to make a choice, but that choice should not expose its neighbor to a major security threat. Given the US and EU interference in Ukraine, it's hard to argue that Kiev's choice is truly ""independent."" Leaked classified documents show that senior US officials like Victoria Nuland, US' current under secretary of state for political affairs, have been weighing in on the make-up of the Ukraine government. For the US, the survival of NATO depends on deliberately created geopolitical tensions. The Obama administration's actions during the Russo-Georgian War and the Joe Biden administration's moves during the recent Ukraine crisis show to the world a rattled US government. ""Helpless"" EU must realize that there is indeed a geopolitical factor. Some EU countries, including Germany, seem to be interested in participating in the geopolitical game in the Indo-Pacific region, following US to provoke Beijing on the Taiwan question. This will bring them into trouble. Another contribution to the West's helplessness is the Afghanistan issue. With the hasty withdrawal of the US troops from Afghanistan, the humanitarian crisis in Afghanistan is getting worse because of the de facto US sanctions against the Taliban. The West does have a sense of frustration over Afghanistan, but it cannot be allowed to shrug off its responsibility in an immoral matter. The West is facing what former EU Commission President Jean-Claude Juncker called a ""polycrisis."" The US is hardly leading the West out of helplessness, and is in fact the cause. As the Munich Security Report 2022 emphasizes, collectively, they have the chance to turn the tide. Individually they risk being swept away. EU needs to make efforts to this end, especially to persuade US not to indulge in confrontations with China and Russia. The author is a senior fellow at the Charhar Institute and China Forum Expert at Tsinghua University. opinion@globaltimes.com.cn",OPINION,VIEWPOINT,"Outgoing Munich Security Conference Chairman Wolfgang Ischinger speaks at the end of the Munich Security Conference (MSC) in Munich, southern Germany, on February 20, 2022. During the 58th Munich Security Conference running from February 18-20, 2022, international diplomats and experts met to discuss topics such as global order, human and transnational security, defense or sustainability. Thomas KIENZLE / AFP",Author details not found,Author details not found,"{'Munich Security Conference 2022': ('MISC', 1), 'Munich Security Index 2022': ('MISC', 1), 'G7': ('MISC', 2), 'COVID': ('MISC', 1), '19': ('MISC', 1), 'Munich Security Report 2022': ('MISC', 2), 'neo': ('MISC', 1), 'Georgian': ('MISC', 1), 'Ukraine': ('LOC', 6), 'West': ('LOC', 6), 'US': ('LOC', 6), 'Russia': ('LOC', 2), 'Kiev': ('LOC', 1), 'Victoria': ('LOC', 1), 'NBC News': ('ORG', 1), 'Munich Security Conference': ('ORG', 1), 'NATO': ('ORG', 2), 'EU': ('ORG', 2), 'University of Chicago': ('ORG', 1), 'N': ('ORG', 1), 'B': ('ORG', 1), 'Wolfgang Ischinger': ('PER', 1), 'Joe Biden': ('PER', 2), 'John Mearsheimer': ('PER', 1), 'Lea': ('PER', 1), 'Obama': ('PER', 1), 'Russo': ('PER', 1)}"
