annotation_category,annotation,entity,sentence,entity_atomized,sentiment,tsc_sentiment,blame,praise
praise,have agreed to simplify the procedure of border crossing,Ukraine,"The customs agencies of Ukraine and Moldova have agreed to simplify the procedure of border crossing, the State Customs Service of Ukraine said in a statement on Monday.The agreement was reached during a meeting of Vyacheslav Demchenko, acting head of the State Customs Service of Ukraine, and Igor Talmazan, director of the Customs Service of Moldova, in Ukraine's southern city of Odesa.The two countries agreed to work out mechanisms of priority passage of fuel and agricultural goods through the joint border and intensify efforts to speed up the customs clearance procedure.In particular, the parties agreed to optimize the load on the existing customs infrastructure by redirecting some vehicles to less congested checkpoints.Besides, Ukraine and Moldova decided to consider expanding the number of checkpoints with phytosanitary and veterinary control, as well as simplifying the entry of Ukrainian trucks without special permits to Moldova.Last month, Ukrainian Prime Minister Denys Shmyhal said that Ukraine and Moldova will upgrade their Free Trade Area agreement that was signed in 2003.",Ukraine,1,-1,0,1
praise,have agreed to simplify the procedure of border crossing,Moldova,"The customs agencies of Ukraine and Moldova have agreed to simplify the procedure of border crossing, the State Customs Service of Ukraine said in a statement on Monday.The agreement was reached during a meeting of Vyacheslav Demchenko, acting head of the State Customs Service of Ukraine, and Igor Talmazan, director of the Customs Service of Moldova, in Ukraine's southern city of Odesa.The two countries agreed to work out mechanisms of priority passage of fuel and agricultural goods through the joint border and intensify efforts to speed up the customs clearance procedure.In particular, the parties agreed to optimize the load on the existing customs infrastructure by redirecting some vehicles to less congested checkpoints.Besides, Ukraine and Moldova decided to consider expanding the number of checkpoints with phytosanitary and veterinary control, as well as simplifying the entry of Ukrainian trucks without special permits to Moldova.Last month, Ukrainian Prime Minister Denys Shmyhal said that Ukraine and Moldova will upgrade their Free Trade Area agreement that was signed in 2003.",Moldova,1,-1,0,1
blame,"the region's most acute challenges of an economic downturn and the threat of a ""color revolution"" following the","Russia-Ukraine conflict,","Chinese analysts said the outcomes addressed the region's most acute challenges of an economic downturn and the threat of a ""color revolution"" following the Russia-Ukraine conflict, and also smashed the US' recent malicious attempt to pressure Central Asia with ideological tools in order to drive a wedge between China and the region.",Russia,-1,-1,1,0
praise,"achieved fruitful cooperation and broad consensus on issues covering the economy, trade and security during Wednesday's third China+Central Asia (C+C5) foreign ministers' meeting",China and five Central Asian countries,"China and five Central Asian countries achieved fruitful cooperation and broad consensus on issues covering the economy, trade and security during Wednesday's third China+Central Asia (C+C5) foreign ministers' meeting.",Central Asian,1,-1,0,1
praise,"achieved fruitful cooperation and broad consensus on issues covering the economy, trade and security during Wednesday's third China+Central Asia (C+C5) foreign ministers' meeting",China and five Central Asian countries,"China and five Central Asian countries achieved fruitful cooperation and broad consensus on issues covering the economy, trade and security during Wednesday's third China+Central Asia (C+C5) foreign ministers' meeting.",China,1,-1,0,1
praise,"achieved fruitful cooperation and broad consensus on issues covering the economy, trade and security during Wednesday's third China+Central Asia (C+C5) foreign ministers' meeting",China and five Central Asian countries,"China and five Central Asian countries achieved fruitful cooperation and broad consensus on issues covering the economy, trade and security during Wednesday's third China+Central Asia (C+C5) foreign ministers' meeting.",Asia,1,-1,0,1
blame,"Central Asian countries face great challenges in improving their economies and stabilizing supply chains, which were hit hard by the pandemic and t",the Russia-Ukraine conflict,"Qian Feng, director of the research department at the National Strategy Institute at Tsinghua University, told the Global Times on Wednesday that Central Asian countries face great challenges in improving their economies and stabilizing supply chains, which were hit hard by the pandemic and the Russia-Ukraine conflict, as well as safeguarding their sovereignty and territorial integrity and dealing with the threat of ""color revolutions.""",Russia,1,-1,1,0
blame,The region has also been under great pressure from the,US,"The region has also been under great pressure from the US, and some regional countries are worried about possible sanctions from the US over their positions on the Russia-Ukraine conflict, Qian said.",US,-1,0,1,0
blame,some regional countries are worried about possible sanctions from the US over their positions on the Russia-Ukraine conflict,the US,"The region has also been under great pressure from the US, and some regional countries are worried about possible sanctions from the US over their positions on the Russia-Ukraine conflict, Qian said.",US,-1,0,1,0
praise,Cooperation with China has addressed the pragmatic and urgent needs of these countries,China,Cooperation with China has addressed the pragmatic and urgent needs of these countries.,China,1,0,0,1
blame,"concerning issues related to China's Taiwan, Hong Kong, Macao and Xinjiang as well as China's position on Ukraine, saying it is based on ideological bias",report adopted by the European Union,"The Chinese Mission to the EU on Wednesday slammed a report adopted by the European Union concerning issues related to China's Taiwan, Hong Kong, Macao and Xinjiang as well as China's position on Ukraine, saying it is based on ideological bias.On Tuesday, the European Parliament at its plenary session adopted the report on the EU and the security challenges in the Indo-Pacific, claiming that China poses a threat to the EU's interests in the region, criticizing China's position on Ukraine, Taiwan, Hong Kong, Macao and Xinjiang-related issues, and calling for the EU to enhance the existing partnership with Taiwan island.",the European Union,0,0,1,0
blame,"adopted the report on the EU and the security challenges in the Indo-Pacific, claiming that China poses a threat to the EU's interests in the region, criticizing China's position on Ukraine, Taiwan, Hong Kong, Macao and Xinjiang-related issues, and calling for the EU to enhance the existing partnership with Taiwan island. The parliament's report, based on ideological bias, distorts China's policy and position, plays up the ""China threat"" ideology, denies China's legitimate right to safeguard its sovereignty and security, and grossly interferes with China's internal affairs",European Parliament,"The Chinese Mission to the EU on Wednesday slammed a report adopted by the European Union concerning issues related to China's Taiwan, Hong Kong, Macao and Xinjiang as well as China's position on Ukraine, saying it is based on ideological bias.On Tuesday, the European Parliament at its plenary session adopted the report on the EU and the security challenges in the Indo-Pacific, claiming that China poses a threat to the EU's interests in the region, criticizing China's position on Ukraine, Taiwan, Hong Kong, Macao and Xinjiang-related issues, and calling for the EU to enhance the existing partnership with Taiwan island.",European Parliament,0,0,1,0
praise,"has been consistent and clear, as it has assumed an objective and impartial position all along and reached independent judgment based on the merits of the facts. China has been working actively and playing a constructive role in promoting peace talks and preventing conflict and large-scale humanitarian crisis",China's position on Ukraine,"No one should underestimate the strong resolve, determination and capability of the Chinese government and the 1.4 billion Chinese people in safeguarding national sovereignty and territorial integrity, the spokesperson said.The spokesperson reiterated that China's position on Ukraine has been consistent and clear, as it has assumed an objective and impartial position all along and reached independent judgment based on the merits of the facts.",Ukraine,1,0,0,1
praise,"has been consistent and clear, as it has assumed an objective and impartial position all along and reached independent judgment based on the merits of the facts. China has been working actively and playing a constructive role in promoting peace talks and preventing conflict and large-scale humanitarian crisis",China's position on Ukraine,"No one should underestimate the strong resolve, determination and capability of the Chinese government and the 1.4 billion Chinese people in safeguarding national sovereignty and territorial integrity, the spokesperson said.The spokesperson reiterated that China's position on Ukraine has been consistent and clear, as it has assumed an objective and impartial position all along and reached independent judgment based on the merits of the facts.",China,1,0,0,1
praise,"is expected to achieve a bumper crop of summer grain despite COVID-19 resurgence, extreme warm weather pattern this year, and the conflict between Russia and Ukraine, two major grain exporters",China,"China is expected to achieve a bumper crop of summer grain despite COVID-19 resurgence, extreme warm weather pattern this year, and the conflict between Russia and Ukraine, two major grain exporters.",China,0,0,0,1
blame,hits Japanese consumers hard as product prices soar while their salaries remain flat.,"falling yen, along with global inflation and the Russia-Ukraine conflict,","""The risk clearly outweighs any possible benefit,"" Zhang said, noting that a falling yen, along with global inflation and the Russia-Ukraine conflict, hits Japanese consumers hard as product prices soar while their salaries remain flat.According to a survey conducted by Japanese credit research firm Teikoku Databank Ltd, more than 10,000 food items in Japan will experience price rise of an average 13 percent this year due to rising materials costs and the yen's rapid depreciation, Kyodo News reported.The survey found that 105 major food manufacturers had raised prices on more than 6,000 products by June, with price hikes planned for an additional 4,504 products starting from July.Fast Retailing, owner of Japanese clothing brand Uniqlo, said on Tuesday that it would raise prices on some items this autumn.",Russia,1,0,1,0
blame,Japanese currency may weaken to 150 yen per dollar this year if,Russia-Ukraine conflict further deteriorates,"Foreign tourism arrivals to Japan plunged by more than 90 percent to 245,900 in 2020, from a record 31.9 million visitors in the previous year, almost erasing the inbound tourism economy worth of over 4.8 trillion yen ($36 billion) in 2019, according to Japan's Tourism Agency.Depreciation trend likelyHowever, given the weaker expectations for the Japanese economy, experts forecast that the depreciation trend being experienced by the Japanese yen may continue, causing turmoil in Asia's foreign exchange market while adversely affecting other countries' exports, Dong Dengxin, director of the Finance and Securities Institute of the Wuhan University of Science and Technology, told the Global Times.For example, South Korean companies that compete with their Japanese peers in sectors such as automobiles and machinery may feel the pain from a weak yen, according to Dong.Zhang predicted that the Japanese currency may weaken to 150 yen per dollar this year if the Russia-Ukraine conflict further deteriorates.",Russia,-1,0,1,0
blame,"Japan and China have been in ""opposing camps"" in the Russia-Ukraine conflict and Japan decided to take a step forward on the Taiwan question without thinking too much about China's feelings.",Japan,"According to Japanese media, Japan and China have been in ""opposing camps"" in the Russia-Ukraine conflict and Japan decided to take a step forward on the Taiwan question without thinking too much about China's feelings.",Japan,-1,0,1,0
blame,"claims that China poses a threat to the Union's interests in the region, criticizing China's position on the Ukraine crisis and Taiwan, Hong Kong, Macao, and Xinjiang-related issues.In response, a spokesperson of the Chinese Mission to the EU said that the report is based on ideological bias, distorts China's policy and position, plays up the ""China threat,"" denies the country's legitimate right to safeguard its sovereignty and security, and grossly interferes with its internal affairs",A report on the EU and the security challenges in the Indo-Pacific adopted by the EP,"But in recent years, it has packaged the hostility of some European politicians toward China as public opinion, trying to hijack the actual view of Europeans toward China.A report on the EU and the security challenges in the Indo-Pacific adopted by the EP at its plenary session on Tuesday claims that China poses a threat to the Union's interests in the region, criticizing China's position on the Ukraine crisis and Taiwan, Hong Kong, Macao, and Xinjiang-related issues.In response, a spokesperson of the Chinese Mission to the EU said that the report is based on ideological bias, distorts China's policy and position, plays up the ""China threat,"" denies the country's legitimate right to safeguard its sovereignty and security, and grossly interferes with its internal affairs.Cui Hongjian, director of the Department of European Studies at the China Institute of International Studies, told the Global Times that the adopted report does not necessarily represent the position of the whole Union.",EU,-1,0,1,0
blame,"claims that China poses a threat to the Union's interests in the region, criticizing China's position on the Ukraine crisis and Taiwan, Hong Kong, Macao, and Xinjiang-related issues.In response, a spokesperson of the Chinese Mission to the EU said that the report is based on ideological bias, distorts China's policy and position, plays up the ""China threat,"" denies the country's legitimate right to safeguard its sovereignty and security, and grossly interferes with its internal affairs",A report on the EU and the security challenges in the Indo-Pacific adopted by the EP,"But in recent years, it has packaged the hostility of some European politicians toward China as public opinion, trying to hijack the actual view of Europeans toward China.A report on the EU and the security challenges in the Indo-Pacific adopted by the EP at its plenary session on Tuesday claims that China poses a threat to the Union's interests in the region, criticizing China's position on the Ukraine crisis and Taiwan, Hong Kong, Macao, and Xinjiang-related issues.In response, a spokesperson of the Chinese Mission to the EU said that the report is based on ideological bias, distorts China's policy and position, plays up the ""China threat,"" denies the country's legitimate right to safeguard its sovereignty and security, and grossly interferes with its internal affairs.Cui Hongjian, director of the Department of European Studies at the China Institute of International Studies, told the Global Times that the adopted report does not necessarily represent the position of the whole Union.",the Indo-Pacific,-1,0,1,0
blame,does not necessarily represent the position of the whole Union,A report on the EU and the security challenges in the Indo-Pacific adopted by the EP,"But in recent years, it has packaged the hostility of some European politicians toward China as public opinion, trying to hijack the actual view of Europeans toward China.A report on the EU and the security challenges in the Indo-Pacific adopted by the EP at its plenary session on Tuesday claims that China poses a threat to the Union's interests in the region, criticizing China's position on the Ukraine crisis and Taiwan, Hong Kong, Macao, and Xinjiang-related issues.In response, a spokesperson of the Chinese Mission to the EU said that the report is based on ideological bias, distorts China's policy and position, plays up the ""China threat,"" denies the country's legitimate right to safeguard its sovereignty and security, and grossly interferes with its internal affairs.Cui Hongjian, director of the Department of European Studies at the China Institute of International Studies, told the Global Times that the adopted report does not necessarily represent the position of the whole Union.",EU,-1,0,1,0
blame,does not necessarily represent the position of the whole Union,A report on the EU and the security challenges in the Indo-Pacific adopted by the EP,"But in recent years, it has packaged the hostility of some European politicians toward China as public opinion, trying to hijack the actual view of Europeans toward China.A report on the EU and the security challenges in the Indo-Pacific adopted by the EP at its plenary session on Tuesday claims that China poses a threat to the Union's interests in the region, criticizing China's position on the Ukraine crisis and Taiwan, Hong Kong, Macao, and Xinjiang-related issues.In response, a spokesperson of the Chinese Mission to the EU said that the report is based on ideological bias, distorts China's policy and position, plays up the ""China threat,"" denies the country's legitimate right to safeguard its sovereignty and security, and grossly interferes with its internal affairs.Cui Hongjian, director of the Department of European Studies at the China Institute of International Studies, told the Global Times that the adopted report does not necessarily represent the position of the whole Union.",the Indo-Pacific,-1,0,1,0
blame,"has become a place for political performances, especially over China-related issues in the past years",EP,"The Chinese scholar believes that the EP has become a place for political performances, especially over China-related issues in the past years.On the one hand, due to the separation of powers in the EU's institutions, the EP has to constantly increase its presence through political performances to gain or consolidate its say in the EU's decision-making.",EP,1,1,1,0
blame,has to constantly increase its presence through political performances to gain or consolidate its say in the EU's decision-making,EP,"The Chinese scholar believes that the EP has become a place for political performances, especially over China-related issues in the past years.On the one hand, due to the separation of powers in the EU's institutions, the EP has to constantly increase its presence through political performances to gain or consolidate its say in the EU's decision-making.",EP,1,1,1,0
praise,"drove up oil and gas prices, boosting returns for producers.",Russia-Ukraine conflict,"""Selling a stake in the upstream business would allow Repsol to crystallize value at a high point in the cycle,"" a Redburn analyst told clients in a note, after the Russia-Ukraine conflict drove up oil and gas prices, boosting returns for producers.",Russia,1,-1,0,1
praise,"will continue to conduct normal trade cooperation with Russia, while remaining firmly opposed to unilateral sanctions that have no basis in international law. ""Reality has shown that sanctions are not the right solution to the Ukraine crisis",China,"China's Foreign Ministry has reiterated that China will continue to conduct normal trade cooperation with Russia, while remaining firmly opposed to unilateral sanctions that have no basis in international law.",China,-1,1,0,1
praise,"will show a relatively large increase despite the Ukraine crisis and COVID-19 outbreaks this year, boosted by the complementary needs of the economies, experts said.Li predicted that China-Russia trade will maintain robust growth this year and could surge above $150 billion",China-Russia trade,"In 2021, Russia remained China's top source of energy imports, which totaled 334.3 billion yuan ($50 billion), an increase of 47.4 percent, accounting for 65.3 percent of China's total imports from Russia.Trade of mechanical and electrical products totaled $43.4 billion in 2021, rising by 40.7 percent year-on-year, with China's automobiles, auto parts and mobile phones being popular among Russian consumers.In recent years, China-Russia trade has been expanding from energy and raw material imports to other food and agricultural products like grain, soybeans, wheat and dairy items, Li said.Data showed that China's mine product imports from Russia hit $24.14 billion from January to April, while meat imports hit $147.95 million.China-Russia trade will show a relatively large increase despite the Ukraine crisis and COVID-19 outbreaks this year, boosted by the complementary needs of the economies, experts said.Li predicted that China-Russia trade will maintain robust growth this year and could surge above $150 billion.",Russia,1,-1,0,1
praise,"will show a relatively large increase despite the Ukraine crisis and COVID-19 outbreaks this year, boosted by the complementary needs of the economies, experts said.Li predicted that China-Russia trade will maintain robust growth this year and could surge above $150 billion",China-Russia trade,"In 2021, Russia remained China's top source of energy imports, which totaled 334.3 billion yuan ($50 billion), an increase of 47.4 percent, accounting for 65.3 percent of China's total imports from Russia.Trade of mechanical and electrical products totaled $43.4 billion in 2021, rising by 40.7 percent year-on-year, with China's automobiles, auto parts and mobile phones being popular among Russian consumers.In recent years, China-Russia trade has been expanding from energy and raw material imports to other food and agricultural products like grain, soybeans, wheat and dairy items, Li said.Data showed that China's mine product imports from Russia hit $24.14 billion from January to April, while meat imports hit $147.95 million.China-Russia trade will show a relatively large increase despite the Ukraine crisis and COVID-19 outbreaks this year, boosted by the complementary needs of the economies, experts said.Li predicted that China-Russia trade will maintain robust growth this year and could surge above $150 billion.",China,1,1,0,1
blame,"Analysts noted that the commodities' price surge is primarily impacted by the ongoing Russia-Ukraine conflict.For instance, the price rise in crude oil is a direct result of the accumulated operational cost from each procedure in the supply chain such as labor cost and logistical cost, Wang Guoqing, research director at Beijing Lange Steel Information Research Center, told the Global Times on Thursday.",the ongoing Russia-Ukraine conflict.,"The import volume for soybeans decreased 0.4 percent to 38.04 million tons with the average price surging 23.3 percent to 4,063.9 yuan per ton.Analysts noted that the commodities' price surge is primarily impacted by the ongoing Russia-Ukraine conflict.For instance, the price rise in crude oil is a direct result of the accumulated operational cost from each procedure in the supply chain such as labor cost and logistical cost, Wang Guoqing, research director at Beijing Lange Steel Information Research Center, told the Global Times on Thursday.",Russia,-1,-1,1,0
blame,"Industrial output in Europe also declined after the start of the Russia-Ukraine conflict,",Russia-Ukraine conflict,"Many companies were still facing problems filling new orders as a result.According to the Munich-based ifo Institute, more than three out of four German companies complained of bottlenecks or problems in the procurement of intermediate products and raw materials in May.Industrial output in Europe also declined after the start of the Russia-Ukraine conflict, albeit less sharply than in Germany.",Russia,-1,-1,1,0
blame,"warned that ""Ukraine might be tomorrow's East Asia."" This is blatant fabrication and dissemination of the fake urgency - a potential war may soon break out in Asia - to terrify regional countries and force them to take sides.",Kishida,"In May, during British Prime Minister Boris Johnson's Japan tour, Kishida warned that ""Ukraine might be tomorrow's East Asia.""",Kishida,-1,1,1,0
