Unnamed: 0,article_title,author,published_time,article_text,article_category_one,article_category_two,picture_description,author_title,author_description,NER
162,"People attend funeral of Hamas officials in Beirut, Lebanon",Xinhua,2024-01-05," 

 



 



",PHOTO,WORLD,"People attend the funeral of Saleh al-Arouri, Hamas' deputy chief, and other two Hamas officials, in Beirut, Lebanon, on Jan. 4, 2024. Hezbollah leader Sayyed Hassan Nasrallah warned on Wednesday night to attack Israel ""without restraint"" if Israel expands its attacks against Lebanon, local TV channel al-Manar reported.(Photo: Xinhua)",Author details not found,Author details not found,{}
163,"Palestinian death toll rises to 22,438 in Gaza: ministry",Xinhua,2024-01-05," 

A man stands among the rubble of buildings destroyed in Israel strikes in the Gaza city of Khan Younis, on Jan. 4, 2024. Palestine death toll from Israel strikes on the Gaza rose to 22,438 since the Israel-Hamas conflict broke out on Oct. 7, 2023, said the Gaza-based Health Ministry on Thursday.(Photo: Xinhua) 



People are seen in front of buildings destroyed in Israel strikes in the Gaza city of Khan Younis, on Jan. 4, 2024. Palestine death toll from Israel strikes on the Gaza rose to 22,438 since the Israel-Hamas conflict broke out on Oct. 7, 2023, said the Gaza-based Health Ministry on Thursday.(Photo: Xinhua) 



A man walks among the rubble of buildings destroyed in Israel strikes in the Gaza city of Khan Younis, on Jan. 4, 2024. Palestine death toll from Israel strikes on the Gaza rose to 22,438 since the Israel-Hamas conflict broke out on Oct. 7, 2023, said the Gaza-based Health Ministry on Thursday.(Photo: Xinhua) Palestine death toll from Israel strikes on the Gaza rose to 22,438 since the Israel-Hamas conflict broke out on Oct. 7, 2023, said the Gaza-based Health Ministry on Thursday.The Ministry Spokesperson Ashraf al-Qedra said in a statement that the Israel army killed 125 Palestine and wounded 318 others in the Gaza during the past 24 hours.It brings the total deaths to 22,438 and injuries to 57,614, he said, noting that 70 percent of the victims are children and women.He added that 99 health workers, including the directors of three major hospitals in Gaza and north, have been held by Israel forces.Al-Qedra warned that in the southern Gazan city of Khan Younis, the Nasser Medical Complex and the Al-Amal Hospital affiliated with the Red Crescent Society, have come under a series of Israel strikes, calling on international institutions to take urgent action to protect hospitals and ensure access for the wounded and sick to medical facilities.Meanwhile, a major Israel military operation in the city of Tulkarm in the northern West Bank has continued for two days, primarily focusing on the Nour Shams refugee camp, according to local Palestine sources.The sources told Xinhua that the Israel forces left major destruction to the roads and infrastructure in the area.At least 325 Palestine have been killed by Israel gunfire in the West Bank since a new round of Palestinian-Israeli Conflict conflict broke out on Oct. 7, 2023, according to the official Palestine news agency WAFA.",PHOTO,WORLD,"People walk past buildings destroyed in Israeli strikes in the southern Gaza Strip city of Khan Younis, on Jan. 4, 2024. Palestinian death toll from Israeli strikes on the Gaza Strip rose to 22,438 since the Israel-Hamas conflict broke out on Oct. 7, 2023, said the Gaza-based Health Ministry on Thursday.(Photo: Xinhua)",Author details not found,Author details not found,"{'Israel': ('LOC', 16), 'Gaza': ('LOC', 13), 'Khan Younis': ('LOC', 4), 'Palestine': ('LOC', 7), 'Gazan': ('LOC', 1), 'Nasser': ('LOC', 1), 'Am': ('LOC', 1), 'Hospital': ('LOC', 1), 'Tulkarm': ('LOC', 1), 'West Bankur': ('LOC', 1), 'Sham': ('LOC', 1), 'At': ('LOC', 1), 'Hamas': ('ORG', 4), 'Health Ministry': ('ORG', 5), 'Xinhua': ('ORG', 4), 'Red Crescent': ('ORG', 1), 'Ashraf al': ('PER', 1), 'Qedra': ('PER', 2), 'Al': ('PER', 2)}"
164,China promotes peace while US embraces wars,Victor Gao,2024-01-05," Thailand and China will waive visa requirements for each other's citizens from March, Thai Prime Minister Srettha Thavisin announced on Tuesday. It will be a win-win situation for both the China people and the Thai people.China and Thailand are very friendly toward each other. In terms of culture and the way of doing business, China and Thailand have a lot in common. Against the backdrop, the visa-free policy will promote economic and trade engagement between China and Thailand in many ways.In December, China and Singapore announced a mutual 30-day visa-free policy. China and Malaysia also have similar mutual visa-free policy. Although the visa waiver schemes with Singapore and Malaysia are not permanent, I hope that Singapore, Malaysia, and other ASEAN countries can also follow Thailand's example. The better such a visa exemption arrangement will be, the better it will be for the recipient countries in terms of boosting their tourist industry.Traditionally, China has deep and friendly relations with most ASEAN members. Such exchanges of friendship and goodwill are based on hundreds, even thousands, of years. This kind of communication will continue in various forms. As of July 2023, the cumulative bilateral investment between China and ASEAN countries had exceeded $380 billion, with over 6,500 direct investment enterprises established in ASEAN. China has maintained its position as ASEAN's largest trading partner for 14 consecutive years, and the two sides have been each other's top trading partner for three consecutive years.Tourism could become a catalyst for China and ASEAN countries to expand cooperation and promote integration. Visa waiver programs will promote China and Southeast Asia to be better integrated. There is still a lot of potential for development between China and ASEAN, for example, in environmental cooperation and energy cooperation, and in particular, in cooperation in science and technology. China-ASEAN cooperation will set a good example for many other countries. We will also be in a better position to promote peace, stability and prosperity throughout the world.What happens between China and ASEAN serves as a stark contrast to the situation in EU and the Middle East. The Israel-Palestine conflict and the Russia-Ukraine conflict are still going on. It is truly a tragedy to see war rage in other parts of the world. However, in Asia, we have managed to do our best to promote peace and stability and avoid using war as an instrument to solve any bilateral disputes.The current momentum between China and ASEAN is something that the US will hardly learn. From the financial support given to Ukraine by the US as well as the US' stance in the Palestinian-Israeli Conflict conflict, all the decisions taken by the US are merely based on its own interests.Actually, most US are friendly, and they love peace rather than war. In that sense, I do think people from China, the US, and many other countries in the world can jointly make an effort to make sure that war is not being embraced by any country. This task is very challenging. A slight carelessness could rock the boat and divert our attention from peaceful engagement and cooperation with each other to confrontation, rivalry, or another version of the Cold War.China will continue to play a very important role in the peacekeeping operations of the UN. That means China will have a lot of things to do to promote peace and stability. And this visa-free policy between China and Thailand starting in March this year will be a good start for 2024.The author is a chair professor at Soochow University and Vice President of the Center for China and Globalization. opinion@globaltimes.com.cn",OPINION,VIEWPOINT,Illustration: Chen Xia/GT,Author details not found,Author details not found,"{'Thailand': ('LOC', 5), 'China': ('LOC', 16), 'Singapore': ('LOC', 3), 'Malaysia': ('LOC', 3), 'Southeast Asia': ('LOC', 2), 'Middle East': ('LOC', 1), 'Israel': ('LOC', 1), 'Palestine': ('LOC', 1), 'Russia': ('LOC', 1), 'Ukraine': ('LOC', 1), 'ASEA': ('LOC', 1), 'Thai': ('MISC', 2), 'ASEAN': ('MISC', 9), 'Srettha Thavisin': ('PER', 1), 'EU': ('ORG', 1)}"
165,"Certain countries spread ‘genocide’ rumors on Xinjiang, while turning blind eye to humanitarian tragedy in Gaza: Chinese FM",Global Times,2024-01-05," Certain countries are obsessed with spreading rumors of the so-called ethnic genocide and forced labor in Northwest China's Xinjiang Uygur Autonomous Region, while turning a blind eye to the current humanitarian tragedy in Gaza, which fully exposes their hypocritical double standards, said China Foreign Ministry spokesperson on a Friday press conference.More and more foreign friends have visited Xinjiang, sharing their authentic experiences, said China Foreign Ministry spokesperson Wang Wenbin when asked to comment on the remarks of Moiz Farooq, an executive editor of Daily Ittehad Media Group, who visited the Xinjiang region as a member of the Pakistani media think tank delegation in December 2023.Farooq said in an interview that he saw the happy and fulfilling lives of the Muslim population in the Xinjiang region. ""I saw Muslims there who were free to enjoy and practice their religion,"" said Farooq as quoted by Al Jazeera. ""It is the agenda of the West to show the worst of Xinjiang and I now know that the stories are not true because I have seen how happily they are living."" According to Wang, there have been over 4,300 foreign guests from countries and international organizations, including Kazakhstan, Kyrgyzstan, Uzbekistan, Pakistan, Indonesia, Malaysia, Japan, Egypt, France, Germany, Switzerland, Canada, the Saudi Arabia League, and the Organization of Islamic Cooperation who visited the Xinjiang region in 2023.The foreign guests included government officials, religious figures, experts and scholars, media reporters, and ordinary people, Wang said. They listened to religious personnel preaching in mosques and Islamic seminaries, saw the protection and inheritance of the Xinjiang region's culture in the streets and alleys, learned about the region's production and development in factories and fields, and witnessed the happy lives of people of all ethnic groups in ordinary households.Not just Farooq, Wang said other delegates such as guests from Japan and France also expressed their witness of peaceful and harmonious life of the local people, pointing out the claim of the so-called genocide of religion, language and culture, as well as forced labor were nonsense.Wang emphasized that seeing is believing and the door of the Xinjiang region is always open. ""China sincerely welcomes more friends from all countries to visit the Xinjiang region in person, to personally experience the beauty, harmony, prosperity, and stability of the region,"" Wang said.In late December, Global Times reporters paid a visit to the Xinjiang region together with 15 representatives from Pakistani media and think tanks. The journalists and scholars told the Global Times that one of the most impressive aspects for them during a five-day on-site visit was the development of Muslims in the Xinjiang region and the religious freedom they enjoy. They called for more people who have misunderstandings about Xinjiang to visit the region.",CHINA,DIPLOMACY,Chinese Foreign Ministry spokesperson Wang Wenbin Photo: mfa.gov.cn,Author details not found,Author details not found,"{'Northwest China': ('LOC', 4), 'Xinjiang Uygur Autonomous Region': ('LOC', 9), 'Gaza': ('LOC', 1), 'Kazakhstan': ('LOC', 1), 'Kyrgyzstan': ('LOC', 1), 'Uzbekistan': ('LOC', 1), 'Pakistan': ('LOC', 1), 'Indonesia': ('LOC', 1), 'Malaysia': ('LOC', 1), 'Japan': ('LOC', 2), 'Egypt': ('LOC', 1), 'France': ('LOC', 2), 'Germany': ('LOC', 1), 'Switzerland': ('LOC', 1), 'Canada': ('LOC', 1), 'Far': ('LOC', 1), 'Foreign Ministry': ('ORG', 2), 'Daily Ittehad Media Group': ('ORG', 1), 'Al Jazeera': ('ORG', 1), 'Saudi Arabia League': ('ORG', 1), 'Organization of Islamic Cooperation': ('ORG', 1), 'Wang Wenbin': ('PER', 6), 'Moiz Farooq': ('PER', 3), 'Pakistani': ('MISC', 1), 'Muslim': ('MISC', 1), 'Muslims': ('MISC', 1), 'West': ('MISC', 1), 'Islamic': ('MISC', 1)}"
166,Blinken heads to Middle East again as interlinked tensions near boiling point,Fan Anqi,2024-01-05,"US Secretary of State Antony Blinken is heading to the Middle East again late Thursday on his fourth trip to the region since the latest escalation in the Palestinian-Israeli Conflict conflict, as interlinked tensions reach boiling point and push the region to the brink of an inferno. Experts said the tension has highlighted the dilemma the US has put itself in, between continuing support for Israel and the urgent need to rope in other Saudi Arabia countries to prevent further escalation. They urged the US to take concrete and responsible measures to prevent the situation from plummeting further. On his first overseas trip of 2024, Blinken will visit Israel, the West Bank, Turkey, Greece, Jordan, Qatar, the United Saudi Arabia Emirates, Saudi Arabia and Egypt, US State Department spokesperson Matthew Miller told media.His visit comes as fears mount that the Palestinian-Israeli Conflict conflict will spiral into a regional war, with the assassination in Lebanon of a top Hamas leader on Tuesday, the deadly terrorist attack in Iran on Wednesday, and multiple attacks on shipping vessels in the Red Sea. According to Miller, Blinken will reiterate his appeal to facilitate the delivery of humanitarian aid into Gaza, while also discussing the contentious issue of post-war management of the Gaza, which experts said is one of the major divergences the US and Israel currently face. The pair has seen growing disagreements over their strategic and tactical approaches in the war, which is another reason for Blinken's trip, as the US tries to reconcile recent rifts with Israel, Zhu Yongbiao, executive director of the Research Center for the Belt and Road at Lanzhou University, told the Global Times on Friday.This disagreement is something the US did not wish to see, but due to Israel's excessive actions and statements, which have sparked fury in the international community, the US has had to keep some distance in order to protect its own image, Zhu noted. Blinken is expected to renew his efforts to urge Israel to minimize the impact of its military operation in Gaza on civilians, which has resulted in a humanitarian crisis, according to relief agencies. Expecting the trip to be bumpy and delicate, Miller acknowledged the challenges facing Blinken. ""We don't expect every conversation on this trip to be easy,"" he said, reported Reuters. Washington is now caught in a dilemma, Zhu said, as on the one hand it finds it more difficult to coordinate with Saudi Arabia countries in order to garner support on the Red Sea issue, while on the other hand facing increasing dissatisfaction from Israel, which thinks Washington's actions have not been tough enough.It will not be easy for Washington to push for more humanitarian aid either. The US' biased position means that it cannot provide a solution that satisfies both the Muslim world and Israel, while also meeting the expectations of the international community and serving its own interests.Nevertheless, the US still has leverage to exert control over Israel, but the key is whether it's willing to do so, experts said, urging Washington to stop fanning the flames and take responsible actions.Ahead of Blinken's scheduled trip, Israel Defence Minister Yoav Gallant said that neither Israel nor Hamas will rule the Palestine territory, but only Palestine, appearing to take a softer tone from previous remarks by Israel officials calling for Palestine to ""emigrate"" from Gaza and for Israel settlers to return.Also on Friday, the Israel military announced that it will temporarily suspend military operations in the heavily bombarded Rafah area ""for humanitarian reasons,"" China Central Television reported.",CHINA,DIPLOMACY,"A group of pro-Palestine activists stage a protest in front of US Secretary of State Antony Blinken's house in McLean, Virginia, spilling fake blood on the streets and over his car as he leaves for work on January 4, 2024. Photo: VCG",Author details not found,Author details not found,"{'US': ('LOC', 7), 'Middle East': ('LOC', 1), 'Israel': ('LOC', 6), 'Saudi Arabia': ('LOC', 3), 'West Bank': ('LOC', 1), 'Turkey': ('LOC', 1), 'Greece': ('LOC', 1), 'Jordan': ('LOC', 1), 'Qatar': ('LOC', 1), 'United Saudi Arabia Emirates': ('LOC', 2), 'Egypt': ('LOC', 1), 'Lebanon': ('LOC', 1), 'Iran': ('LOC', 1), 'Red Sea': ('LOC', 1), 'Gaza': ('LOC', 3), 'Washington': ('LOC', 1), 'Antony Blinken': ('PER', 4), 'Matthew Miller': ('PER', 3), 'Zhu Yongbiao': ('PER', 3), 'B': ('PER', 2), 'Palestinian - Israeli Conflict': ('MISC', 2), 'Saudi': ('MISC', 1), 'US State Department': ('ORG', 1), 'Hamas': ('ORG', 1), 'Research Center for': ('ORG', 1), 'Belt and Road': ('ORG', 1), 'Lanzhou University': ('ORG', 1), 'Global Times': ('ORG', 1), 'Ex': ('ORG', 1)}"
167,Israeli airstrikes hit southern Gaza Strip cities,Xinhua,2024-01-04," 

 



 



",PHOTO,WORLD,"Smoke rises following an Israeli airstrike in the southern Gaza Strip city of Khan Younis, on Jan. 3, 2024. The Ministry of Health in Gaza on Wednesday updated the Palestinian death toll from the ongoing Israeli attacks to 22,313 and the number of wounded to 57,296. The ministry said in a statement that the Israeli army killed 128 Palestinians and wounded 261 others during the past 24 hours.(Photo: Xinhua)",Author details not found,Author details not found,{}
168,Animals at zoo in southern Gaza Strip suffer from food shortage due to Israel-Hamas conflict,Xinhua,2024-01-04," 

A weak monkey is pictured at a private zoo in the Gaza city of Rafah, Jan. 2, 2024. Animals at the zoo are suffering from food shortage due to the Israel-Hamas conflict.(Photo: Xinhua) 



 



Lions are pictured at a private zoo in the Gaza city of Rafah, Jan. 2, 2024. Animals at the zoo are suffering from food shortage due to the Israel-Hamas conflict.(Photo: Xinhua)",PHOTO,WORLD,"A staff member checks health conditions of lions at a private zoo in the southern Gaza Strip city of Rafah, Jan. 2, 2024. Animals at the zoo are suffering from food shortage due to the Israel-Hamas conflict.(Photo: Xinhua)",Author details not found,Author details not found,"{'Gaza': ('LOC', 2), 'Rafah': ('LOC', 2), 'Israel -': ('MISC', 2), 'Hamas': ('ORG', 2), 'Xinhua': ('ORG', 2)}"
169,"Regional tension 'to intensify' while Iran vows revenge
 after terror attack",Yang Sheng,2024-01-04,"China expressed condolences to Iran on Thursday over the terrorist attack that killed more than 100 in Kerman, a southeastern city in the country, strongly condemning the attack while voicing support for Iran's efforts in safeguarding its national security and stability.China analysts said that the forces behind this attack remain unclear at the moment, but considering the intention and capability, as well as its form, the attack could have been conducted by forces with an anti-government stance within Iran and those with extreme hostility against the country in the region that have a mature capability and technical conditions to launch twin bomb attacks.  According to Iran official media on Wednesday, two explosions near the burial site of Iran's slain general Qassem Soleimani killed at least 103 people and wounded 141 others. The blasts occurred as many people gathered at the cemetery in Kerman to mark the fourth anniversary of Soleimani's death in a US drone strike. China President Xi Jinping on Thursday sent a message of condolences to Iran President Ebrahim Raisi over the serious terror attacks in the country, the Xinhua reported. China Foreign Ministry spokesperson Wang Wenbin said at a routine press conference on Thursday that China is deeply shocked by the serious terrorist attack and heavy casualties in Iran. ""We express deep condolences to the victims and sincere sympathy to the injured and the bereaved families. China opposes all forms of terrorism, strongly condemns terrorist attacks and firmly supports Iran's efforts to safeguard national security and stability,"" Wang noted.Condemnations from around the world Supreme Leader of Iran's Islamic Revolution Ayatollah Seyyed Ali Khamenei issued a message on the martyrdom of dozens of people in the terrorist attack, warning the ""criminals"" of punishment and a hard response over the tragedy they caused, the IRNA reported.Iran President Ebrahim Raisi said the enemies may believe they can achieve their illegitimate goals through terrorism, but the Iran nation has proven that such crimes will not disrupt their ""unity, security, and strategy."" Raisi made the remarks on Wednesday night as he received a phone call from his Turkey counterpart Recep Tayyip Erdogan.After the blasts, in addition to China, many countries around the world, including Russia, Turkey, Saudi Arabia and many Islamic countries, as well as UN Secretary-General Antonio Guterres expressed their condemnation of the attack.  Russia President Vladimir Putin has condemned terrorism in all its forms and offered his condolences to the Iran leadership over the terrorist attack in Kerman, TASS reported on Wednesday. Guterres on Wednesday strongly condemned the attack, a UN spokeswoman said on Wednesday. ""The Secretary-General expresses his deep condolences to the bereaved families and the people and the Government of the Islamic Republic of Iran. He wishes the injured a speedy recovery,"" said Florencia Soto Niño, UN Associate Spokesperson, speaking to journalists at the regular noon briefing in New York.The EU and France also condemned the bombings. EU's foreign policy chief Josep Borrell wrote on X that he had a telephone conversation with Iran Foreign Minister Hossein Amir-Abdollahian, during which he expressed condolences to Abdollahian for the bomb attack in Kerman.As of press time, no one has claimed responsibility for the bombings. China analysts said that the attacks came after a series of incidents, including a Houthi attack against Israel-linked ships in the Red Sea, and the airstrike against Hamas senior officials in Beirut. They said that no matter who is behind this bombing, the regional tension with the ongoing Gaza conflict at its core will worsen, as more major powers will be forced to become involved.Wang Jin, a professor and Middle East studies expert at Lanzhou University, told the Global Times on Thursday that ""the Palestine-Israel conflict is showing a trend of escalation, and more and more forces have become involved, and the attack in Iran will make relations between different major powers in the region increasingly sensitive and fragile.""Who did it?US State Department spokesperson Matthew Miller told a regular news briefing on Wednesday that the US was not involved in any way in the explosions and has no reason to believe Israel was.""Washington says USA and Israel had no role in the terrorist attack in Kerman, Iran. Really? A fox smells its own lair first.  Make no mistake. The responsibility for this crime lies with the US and Zionist regimes and terrorism is just a tool,"" Mohammad Jamshidi, deputy chief of Staff for Political Affairs to Iran President, said on his X account.In a statement on Wednesday night, Hamas said that any terrorist act targeting civilians and seeking to disrupt the security and stability of the Islamic Republic of Iran ""serves the sinister plans of the Zionist enemy,"" the IRNA reported.""It's not a secret that Israel and the US have always targeted Iran scientists and senior officials and military commanders and have conducted many attacks within Iran and other places in the Middle East, so it's possible that Israel is connected with the bombings as it needs to retaliate against Iran over issues like the Houthi attacks against its ships in the Red Sea,"" Ma Xiaolin, dean of the Institute for Studies on the Mediterranean Rim at Zhejiang International Studies University, told the Global Times on Thursday.However, Israel normally targets high-value figures related to Iran's nuclear facilities, and the US normally targets the senior leaders of Iran's military force, and the attack against civilians will bring no benefits but only risks and a negative impact on Israel and the US, Wang said, adding that the bombing is unlikely to have been conducted by the Netanyahu administration and Washington.The attack serves the goal of forcing Iran to get involved in the current conflict and to keep the US involved in the ongoing crisis in the region, so it's possible that the bombing was conducted by anti-government forces within Iran cooperating with anti-Iran forces outside the country connected with Israel's intelligence agency Mossad, said a Shanghai-based expert on international security who asked for anonymity. ""Some of these forces don't want to see the US walk away from the mess, so they want to push Iran to get involved more directly, so that they might have the chance to hype up the conflict between Iran and the US, or to use the US' strength to weaken Iran. This scenario serves their interests,"" he noted. Wen Shaobiao, an expert from the Shanghai International Studies University, told the Global Times on Thursday that ""after the attack, Iran might mobilize its proxies and allies in the region, such as Hezbollah, Houthis and other armed groups in Iraq to attack Israel, while the US military base in Syria will also be targeted, and the Red Sea crisis might be further intensified.""",CHINA,DIPLOMACY,"Lebanese civil defense members spray water on the street by the building that was hit by an Israeli strike targeting Hamas deputy leader Saleh al-Aruri in the southern suburb of Beirut on January 3, 2024. Aruri was killed on January 2 along with his bodyguards in a strike by Israel, which has vowed to destroy Hamas after the movement's shock October 7 attacks. Photo: VCG","Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military.","{'China': ('LOC', 7), 'Iran': ('LOC', 11), 'Kerman': ('LOC', 2), 'US': ('LOC', 1), 'Turkey': ('LOC', 2), 'Russia': ('LOC', 2), 'Arabia': ('LOC', 1), 'Qassem Soleimani': ('PER', 2), 'Xi Jinping': ('PER', 1), 'Ebrahim Raisi': ('PER', 2), 'Wang Wenbin': ('PER', 2), 'Se': ('PER', 1), 'Ali Khamenei': ('PER', 1), 'E': ('PER', 1), 'Antonio': ('PER', 1), 'Vladimir': ('PER', 1), 'Xinhua': ('ORG', 1), 'Foreign Ministry': ('ORG', 1), 'IRNA': ('ORG', 1), 'Ehim Raisi': ('ORG', 1), 'Ta': ('ORG', 1), 'UN': ('ORG', 1), 'Islamic Revolution': ('MISC', 2), 'Saudi': ('MISC', 1)}"
170,US ‘low-cost’ warning to Houthi militia has little impact on settling Red Sea crisis,GT staff reporters,2024-01-04,"The ""low-cost warning"" issued by the US-led coalition to Yemen's Houthi rebels may not have a significant impact on easing tensions on the Red Sea waters, and the coalition's persistent use of military tactics could exacerbate the situation, analysts warned, calling for international efforts to achieve a political resolution to both the Red Sea crisis and a cease-fire in Gaza and to avoid further spillover of the conflicts in the Middle East. On Wednesday, a group of countries led by the US, including Australia, Canada, Germany and Japan, warned Yemen's Houthi rebels of ""consequences"" unless they immediately halt sea attacks that are increasingly disrupting global commerce. The Joe Biden administration described the joint statement as a final warning as he weighs possible military strikes against the Houthis if attacks persist, according to media reports. In response to why China has not jointly condemned the Houthi militia, China Foreign Ministry spokesperson Wang Wenbin said at a routine press conference on Thursday that China has always supported safeguarding the security of international waterways and rejected assaulting civilian ships.The Red Sea is an important international transportation route for goods and energy. Ensuring the security and stability of the region serves the common interests of the international community. All parties should play a constructive role in safeguarding the security of the Red Sea transportation route, said Wang.On Wednesday, the Houthi group in Yemen launched missiles targeting a cargo ship in the Red Sea. The group's military spokesperson Yahya Sarea said that the operation came after the ship's crew refused to respond to calls from the group, including fiery warning messages.Given the US' current strategy in the Middle East and the spillover effect of the Palestinian-Israeli Conflict, the US may intensify its operations targeting ships of the Houthi rebels in the Red Sea waters, Liu Zhongmin, a professor at the Middle East Studies Institute of Shanghai International Studies University, told the Global Times. The expert noted that the likelihood of the US extinguishing the Houthi rebels in Yemen is low due to the complex political situation in the country and the regional diplomatic dynamics.The Houthi militia's recent attacks on Israel ships in the Red Sea were aimed at showing support for Palestine and asserting their presence in the region while seeking political transformation. Additionally, a US attack on the Houthi militia in Yemen would disrupt negotiations among the group, the Yemeni government, and Saudi Arabia, which would not align with US interests in the region, said Liu. The ""final warning"" is the latest attempt by the US to deter the Houthi group, considering the US' limited resources in terms of fleets and soldiers for large-scale military operations in the region. The US also faces challenges in effectively attacking the decentralized militia group, which is hidden within Yemen's complex landscape, Ding Long, a professor with the Middle East Studies Institute of Shanghai International Studies University, told the Global Times.Ding also noted that the US is believed to have no intention of escalating the Palestinian-Israeli Conflict, and with the upcoming election, the Joe Biden administration is aiming to avoid engaging in a new war. However, the crisis in the Red Sea may persist as the US-led escort alliance has not only failed to resolve the issue but instead heightened the risk of a larger conflict with the Houthi militia. The root cause of the Red Sea crisis lies in the Palestinian-Israeli Conflict, and resolving the crisis relies on a cease-fire in Gaza, said Ding. However, the US deliberately avoids discussion of the connection between the Red Sea crisis and the Palestinian-Israeli Conflict, attempting to portray them as isolated events and only emphasizing the illegality and harm caused by the Houthi armed group. On Wednesday, the UN held its first open meeting on the continuing attacks by Houthi rebels in the Red Sea, during which Geng Shuang, China's deputy permanent representative to the UN, said that the current tensions in the Red Sea are one of the manifestations of the spillover effects of the conflict in Gaza. ""We call on the relevant party to cease assaulting civilian ships and respect and protect the freedom of navigation of all countries in the Red Sea. We believe that all parties, especially major countries with influence, need to play a constructive and responsible role in keeping the shipping lanes safe in the Red Sea,"" said Geng. Ding noted that the escalating Red Sea crisis is evolving into a global security challenge that requires a collective response from the international community. The US and West countries, in particular, should avoid exacerbating the situation and refrain from using military means to solve the Red Sea crisis and the Yemen issue. Strengthening international coordination and seeking a political solution should be the international consensus for resolving the Red Sea crisis, said Ding.",WORLD,MID-EAST,"An Israeli Navy missile boat is seen in the area of the Red Sea on Nov. 1, 2023. Israel sent missile boats to the Red Sea, the army said on Wednesday after Houthi forces in Yemen fired missiles and drones toward Israel's resort city of Eilat.(Photo: Xinhua)",Author details not found,Author details not found,"{'US': ('LOC', 6), 'Yemen': ('LOC', 5), 'Red Sea': ('LOC', 7), 'Gaza': ('LOC', 1), 'Middle East': ('LOC', 3), 'Australia': ('LOC', 1), 'Canada': ('LOC', 1), 'Germany': ('LOC', 1), 'Japan': ('LOC', 1), 'China': ('LOC', 3), 'Israel': ('LOC', 1), 'Palestine': ('LOC', 1), 'Yemeni': ('LOC', 1), 'Arabia': ('LOC', 1), 'Houthi': ('MISC', 8), 'Houthis': ('MISC', 1), 'Palestinian - Israeli Conflict': ('MISC', 1), 'Saudi': ('MISC', 1), 'Joe Biden': ('PER', 1), 'Wang Wenbin': ('PER', 2), 'Yahya Sarea': ('PER', 1), 'Liu': ('PER', 1), 'Foreign Ministry': ('ORG', 1), 'Zhong': ('ORG', 1), 'Institute': ('ORG', 1), 'Shanghai': ('ORG', 1), 'Times': ('ORG', 1)}"
171,Aftermath of Israel-Hamas conflict in Gaza,Xinhua,2024-01-03," 

People are seen on a street with damaged buildings in Gaza, on Jan. 2, 2024. The death toll of Palestine has exceeded 22,000 after the outbreak of the Israel-Hamas conflict on Oct. 7, 2023, the Hamas-run Health Ministry said on Tuesday.(Photo: Xinhua) 

People walk past destroyed buildings in Gaza, on Jan. 2, 2024. The death toll of Palestine has exceeded 22,000 after the outbreak of the Israel-Hamas conflict on Oct. 7, 2023, the Hamas-run Health Ministry said on Tuesday.(Photo: Xinhua) 

People walk past destroyed buildings in Gaza, on Jan. 2, 2024. The death toll of Palestine has exceeded 22,000 after the outbreak of the Israel-Hamas conflict on Oct. 7, 2023, the Hamas-run Health Ministry said on Tuesday. (Photo: Xinhua) 

A man walks past a destroyed building in Gaza, on Jan. 2, 2024. The death toll of Palestine has exceeded 22,000 after the outbreak of the Israel-Hamas conflict on Oct. 7, 2023, the Hamas-run Health Ministry said on Tuesday. (Photo: Xinhua)",PHOTO,WORLD,"A man walks past destroyed buildings in Gaza City, on Jan. 2, 2024. The death toll of Palestinians has exceeded 22,000 after the outbreak of the Israel-Hamas conflict on Oct. 7, 2023, the Hamas-run Health Ministry said on Tuesday.(Photo: Xinhua)",Author details not found,Author details not found,"{'Gaza': ('LOC', 4), 'Palestine': ('LOC', 4), 'Israel': ('MISC', 4), 'Hamas': ('ORG', 8), 'Health Ministry': ('ORG', 4), 'Xinhua': ('ORG', 4)}"
